strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
helper	A	1	0.1524	TRUE	TRUE	0.05
helper	A	2	0.0162	FALSE	TRUE	0.05
helper	A	3	0.0157	FALSE	TRUE	0.05
helper	A	4	0.0155	FALSE	TRUE	0.05
helper	A	5	0.0148	FALSE	TRUE	0.05
helper	A	6	0.015600000000000003	FALSE	TRUE	0.05
helper	A	7	0.015400000000000004	FALSE	TRUE	0.05
helper	A	8	0.014900000000000004	FALSE	TRUE	0.05
helper	A	9	0.015400000000000004	FALSE	TRUE	0.05
helper	A	10	0.016100000000000003	FALSE	TRUE	0.05
helper	A	11	0.0165	FALSE	TRUE	0.05
helper	A	12	0.0162	FALSE	TRUE	NA
helper	B	1	0.15940000000000001	TRUE	TRUE	0.05
helper	B	2	0.016600000000000004	FALSE	TRUE	0.05
helper	B	3	0.0167	FALSE	TRUE	0.05
helper	B	4	0.017100000000000004	FALSE	TRUE	0.05
helper	B	5	0.0169	FALSE	TRUE	0.05
helper	B	6	0.0165	FALSE	TRUE	0.05
helper	B	7	0.0165	FALSE	TRUE	0.05
helper	B	8	0.0167	FALSE	TRUE	0.05
helper	B	9	0.017300000000000003	FALSE	TRUE	0.05
helper	B	10	0.017	FALSE	TRUE	0.05
helper	B	11	0.016399999999999998	FALSE	TRUE	0.05
helper	B	12	0.016399999999999998	FALSE	TRUE	NA
helper	C	1	0.1252	TRUE	TRUE	0.05
helper	C	2	0.016600000000000004	FALSE	TRUE	0.05
helper	C	3	0.017100000000000004	FALSE	TRUE	0.05
helper	C	4	0.0169	FALSE	TRUE	0.05
helper	C	5	0.017	FALSE	TRUE	0.05
helper	C	6	0.016600000000000004	FALSE	TRUE	0.05
helper	C	7	0.0165	FALSE	TRUE	0.05
helper	C	8	0.016800000000000002	FALSE	TRUE	0.05
helper	C	9	0.0167	FALSE	TRUE	0.05
helper	C	10	0.0167	FALSE	TRUE	0.05
helper	C	11	0.016100000000000003	FALSE	TRUE	0.05
helper	C	12	0.016399999999999998	FALSE	TRUE	0.05
helper	D	1	0.1195	TRUE	TRUE	0.05
helper	D	2	0.017100000000000004	FALSE	TRUE	0.05
helper	D	3	0.0175	FALSE	TRUE	0.05
helper	D	4	0.017300000000000003	FALSE	TRUE	0.05
helper	D	5	0.0172	FALSE	TRUE	0.05
helper	D	6	0.015300000000000001	FALSE	TRUE	0.05
helper	D	7	0.0155	FALSE	TRUE	0.05
helper	D	8	0.0172	FALSE	TRUE	0.05
helper	D	9	0.017300000000000003	FALSE	TRUE	0.05
helper	D	10	0.0174	FALSE	TRUE	0.05
helper	D	11	0.017	FALSE	TRUE	0.05
helper	D	12	0.0165	FALSE	TRUE	0.05
helper	E	1	0.1394	TRUE	TRUE	0.05
helper	E	2	0.0169	FALSE	TRUE	0.05
helper	E	3	0.0172	FALSE	TRUE	0.05
helper	E	4	0.017	FALSE	TRUE	0.05
helper	E	5	0.016800000000000002	FALSE	TRUE	0.05
helper	E	6	0.015199999999999998	FALSE	TRUE	0.05
helper	E	7	0.015100000000000002	FALSE	TRUE	0.05
helper	E	8	0.0172	FALSE	TRUE	0.05
helper	E	9	0.0172	FALSE	TRUE	0.05
helper	E	10	0.0174	FALSE	TRUE	0.05
helper	E	11	0.0172	FALSE	TRUE	0.05
helper	E	12	0.016100000000000003	FALSE	TRUE	0.05
helper	F	1	0.1314	TRUE	TRUE	0.05
helper	F	2	0.0162	FALSE	TRUE	0.05
helper	F	3	0.017100000000000004	FALSE	TRUE	0.05
helper	F	4	0.016800000000000002	FALSE	TRUE	0.05
helper	F	5	0.016800000000000002	FALSE	TRUE	0.05
helper	F	6	0.016600000000000004	FALSE	TRUE	0.05
helper	F	7	0.016800000000000002	FALSE	TRUE	0.05
helper	F	8	0.017	FALSE	TRUE	0.05
helper	F	9	0.017	FALSE	TRUE	0.05
helper	F	10	0.017300000000000003	FALSE	TRUE	0.05
helper	F	11	0.0169	FALSE	TRUE	0.05
helper	F	12	0.0162	FALSE	TRUE	0.05
helper	G	1	0.1373	TRUE	TRUE	0.05
helper	G	2	0.0158	FALSE	TRUE	0.05
helper	G	3	0.0162	FALSE	TRUE	0.05
helper	G	4	0.016800000000000002	FALSE	TRUE	0.05
helper	G	5	0.0167	FALSE	TRUE	0.05
helper	G	6	0.016300000000000002	FALSE	TRUE	0.05
helper	G	7	0.016399999999999998	FALSE	TRUE	0.05
helper	G	8	0.0167	FALSE	TRUE	0.05
helper	G	9	0.0172	FALSE	TRUE	0.05
helper	G	10	0.017	FALSE	TRUE	0.05
helper	G	11	0.0169	FALSE	TRUE	0.05
helper	G	12	0.0162	FALSE	TRUE	NA
helper	H	1	0.1995	TRUE	TRUE	0.05
helper	H	2	0.016	FALSE	TRUE	0.05
helper	H	3	0.016300000000000002	FALSE	TRUE	0.05
helper	H	4	0.0162	FALSE	TRUE	0.05
helper	H	5	0.015600000000000003	FALSE	TRUE	0.05
helper	H	6	0.016100000000000003	FALSE	TRUE	0.05
helper	H	7	0.016	FALSE	TRUE	0.05
helper	H	8	0.015600000000000003	FALSE	TRUE	0.05
helper	H	9	0.016	FALSE	TRUE	0.05
helper	H	10	0.016399999999999998	FALSE	TRUE	0.05
helper	H	11	0.016800000000000002	FALSE	TRUE	0.05
helper	H	12	0.016399999999999998	FALSE	TRUE	NA
donor	A	1	0.1263	TRUE	TRUE	0.05
donor	A	2	0.0162	FALSE	TRUE	0.05
donor	A	3	0.0158	FALSE	TRUE	0.05
donor	A	4	0.015600000000000003	FALSE	TRUE	0.05
donor	A	5	0.015199999999999998	FALSE	TRUE	0.05
donor	A	6	0.015600000000000003	FALSE	TRUE	0.05
donor	A	7	0.015400000000000004	FALSE	TRUE	0.05
donor	A	8	0.015199999999999998	FALSE	TRUE	0.05
donor	A	9	0.015600000000000003	FALSE	TRUE	0.05
donor	A	10	0.0158	FALSE	TRUE	0.05
donor	A	11	0.016800000000000002	FALSE	TRUE	0.05
donor	A	12	0.016300000000000002	FALSE	TRUE	0.05
donor	B	1	0.1222	TRUE	TRUE	0.05
donor	B	2	0.016399999999999998	FALSE	TRUE	0.05
donor	B	3	0.0165	FALSE	TRUE	0.05
donor	B	4	0.017	FALSE	TRUE	0.05
donor	B	5	0.016800000000000002	FALSE	TRUE	0.05
donor	B	6	0.016300000000000002	FALSE	TRUE	0.05
donor	B	7	0.016399999999999998	FALSE	TRUE	0.05
donor	B	8	0.0167	FALSE	TRUE	0.05
donor	B	9	0.017300000000000003	FALSE	TRUE	0.05
donor	B	10	0.0169	FALSE	TRUE	0.05
donor	B	11	0.016100000000000003	FALSE	TRUE	0.05
donor	B	12	0.016399999999999998	FALSE	TRUE	0.05
donor	C	1	0.1252	TRUE	TRUE	0.05
donor	C	2	0.0167	FALSE	TRUE	0.05
donor	C	3	0.016800000000000002	FALSE	TRUE	0.05
donor	C	4	0.0169	FALSE	TRUE	0.05
donor	C	5	0.016600000000000004	FALSE	TRUE	0.05
donor	C	6	0.016300000000000002	FALSE	TRUE	0.05
donor	C	7	0.016600000000000004	FALSE	TRUE	0.05
donor	C	8	0.017	FALSE	TRUE	0.05
donor	C	9	0.016600000000000004	FALSE	TRUE	0.05
donor	C	10	0.0169	FALSE	TRUE	0.05
donor	C	11	0.016300000000000002	FALSE	TRUE	0.05
donor	C	12	0.016399999999999998	FALSE	TRUE	NA
donor	D	1	0.1184	TRUE	TRUE	0.05
donor	D	2	0.017	FALSE	TRUE	0.05
donor	D	3	0.017100000000000004	FALSE	TRUE	0.05
donor	D	4	0.0172	FALSE	TRUE	0.05
donor	D	5	0.017	FALSE	TRUE	0.05
donor	D	6	0.015300000000000001	FALSE	TRUE	0.05
donor	D	7	0.015	FALSE	TRUE	0.05
donor	D	8	0.017	FALSE	TRUE	0.05
donor	D	9	0.0172	FALSE	TRUE	0.05
donor	D	10	0.017300000000000003	FALSE	TRUE	0.05
donor	D	11	0.017	FALSE	TRUE	0.05
donor	D	12	0.0165	FALSE	TRUE	NA
donor	E	1	0.12090000000000001	TRUE	TRUE	0.05
donor	E	2	0.017100000000000004	FALSE	TRUE	0.05
donor	E	3	0.017100000000000004	FALSE	TRUE	0.05
donor	E	4	0.0169	FALSE	TRUE	0.05
donor	E	5	0.016300000000000002	FALSE	TRUE	0.05
donor	E	6	0.015100000000000002	FALSE	TRUE	0.05
donor	E	7	0.015400000000000004	FALSE	TRUE	0.05
donor	E	8	0.017300000000000003	FALSE	TRUE	0.05
donor	E	9	0.017300000000000003	FALSE	TRUE	0.05
donor	E	10	0.0175	FALSE	TRUE	0.05
donor	E	11	0.0172	FALSE	TRUE	0.05
donor	E	12	0.0162	FALSE	TRUE	0.05
donor	F	1	0.1894	TRUE	TRUE	0.05
donor	F	2	0.016399999999999998	FALSE	TRUE	0.05
donor	F	3	0.0165	FALSE	TRUE	0.05
donor	F	4	0.016800000000000002	FALSE	TRUE	0.05
donor	F	5	0.017100000000000004	FALSE	TRUE	0.05
donor	F	6	0.0165	FALSE	TRUE	0.05
donor	F	7	0.016800000000000002	FALSE	TRUE	0.05
donor	F	8	0.0174	FALSE	TRUE	0.05
donor	F	9	0.0169	FALSE	TRUE	0.05
donor	F	10	0.0172	FALSE	TRUE	0.05
donor	F	11	0.017	FALSE	TRUE	0.05
donor	F	12	0.0162	FALSE	TRUE	0.05
donor	G	1	0.1308	TRUE	TRUE	0.05
donor	G	2	0.016	FALSE	TRUE	0.05
donor	G	3	0.016399999999999998	FALSE	TRUE	0.05
donor	G	4	0.0169	FALSE	TRUE	0.05
donor	G	5	0.0167	FALSE	TRUE	0.05
donor	G	6	0.0162	FALSE	TRUE	0.05
donor	G	7	0.016399999999999998	FALSE	TRUE	0.05
donor	G	8	0.016800000000000002	FALSE	TRUE	0.05
donor	G	9	0.017300000000000003	FALSE	TRUE	0.05
donor	G	10	0.017300000000000003	FALSE	TRUE	0.05
donor	G	11	0.016800000000000002	FALSE	TRUE	0.05
donor	G	12	0.016100000000000003	FALSE	TRUE	NA
donor	H	1	0.2321	TRUE	TRUE	0.05
donor	H	2	0.016100000000000003	FALSE	TRUE	0.05
donor	H	3	0.0158	FALSE	TRUE	0.05
donor	H	4	0.016399999999999998	FALSE	TRUE	0.05
donor	H	5	0.015199999999999998	FALSE	TRUE	0.05
donor	H	6	0.016300000000000002	FALSE	TRUE	0.05
donor	H	7	0.0158	FALSE	TRUE	0.05
donor	H	8	0.015600000000000003	FALSE	TRUE	0.05
donor	H	9	0.0157	FALSE	TRUE	0.05
donor	H	10	0.016300000000000002	FALSE	TRUE	0.05
donor	H	11	0.0167	FALSE	TRUE	0.05
donor	H	12	0.0165	FALSE	TRUE	NA
receiver	A	1	0.0324	TRUE	TRUE	0.5
receiver	A	2	0.0162	FALSE	TRUE	0.5
receiver	A	3	0.016100000000000003	FALSE	TRUE	0.5
receiver	A	4	0.0158	FALSE	TRUE	0.5
receiver	A	5	0.014699999999999998	FALSE	TRUE	0.5
receiver	A	6	0.015300000000000001	FALSE	TRUE	0.5
receiver	A	7	0.015300000000000001	FALSE	TRUE	0.5
receiver	A	8	0.015100000000000002	FALSE	TRUE	0.5
receiver	A	9	0.0158	FALSE	TRUE	0.5
receiver	A	10	0.015900000000000004	FALSE	TRUE	0.5
receiver	A	11	0.0165	FALSE	TRUE	0.5
receiver	A	12	0.0162	FALSE	TRUE	0.5
receiver	B	1	0.0353	TRUE	TRUE	0.5
receiver	B	2	0.016300000000000002	FALSE	TRUE	0.5
receiver	B	3	0.0169	FALSE	TRUE	0.5
receiver	B	4	0.017	FALSE	TRUE	0.5
receiver	B	5	0.017	FALSE	TRUE	0.5
receiver	B	6	0.0162	FALSE	TRUE	0.5
receiver	B	7	0.016100000000000003	FALSE	TRUE	0.5
receiver	B	8	0.016600000000000004	FALSE	TRUE	0.5
receiver	B	9	0.0169	FALSE	TRUE	0.5
receiver	B	10	0.016800000000000002	FALSE	TRUE	0.5
receiver	B	11	0.016100000000000003	FALSE	TRUE	0.5
receiver	B	12	0.016399999999999998	FALSE	TRUE	0.5
receiver	C	1	0.033600000000000005	TRUE	TRUE	0.5
receiver	C	2	0.016600000000000004	FALSE	TRUE	0.5
receiver	C	3	0.016600000000000004	FALSE	TRUE	0.5
receiver	C	4	0.0169	FALSE	TRUE	0.5
receiver	C	5	0.017100000000000004	FALSE	TRUE	0.5
receiver	C	6	0.0162	FALSE	TRUE	0.5
receiver	C	7	0.0162	FALSE	TRUE	0.5
receiver	C	8	0.016600000000000004	FALSE	TRUE	0.5
receiver	C	9	0.0165	FALSE	TRUE	0.5
receiver	C	10	0.016800000000000002	FALSE	TRUE	0.5
receiver	C	11	0.016100000000000003	FALSE	TRUE	0.5
receiver	C	12	0.016100000000000003	FALSE	TRUE	0.5
receiver	D	1	0.032	TRUE	TRUE	0.5
receiver	D	2	0.016800000000000002	FALSE	TRUE	0.5
receiver	D	3	0.017300000000000003	FALSE	TRUE	0.5
receiver	D	4	0.0172	FALSE	TRUE	0.5
receiver	D	5	0.017	FALSE	TRUE	0.5
receiver	D	6	0.015600000000000003	FALSE	TRUE	0.5
receiver	D	7	0.015100000000000002	FALSE	TRUE	0.5
receiver	D	8	0.0169	FALSE	TRUE	0.5
receiver	D	9	0.017300000000000003	FALSE	TRUE	0.5
receiver	D	10	0.017300000000000003	FALSE	TRUE	0.5
receiver	D	11	0.0169	FALSE	TRUE	0.5
receiver	D	12	0.0165	FALSE	TRUE	0.5
receiver	E	1	0.0312	TRUE	TRUE	0.5
receiver	E	2	0.016800000000000002	FALSE	TRUE	0.5
receiver	E	3	0.017100000000000004	FALSE	TRUE	0.5
receiver	E	4	0.017	FALSE	TRUE	0.5
receiver	E	5	0.0165	FALSE	TRUE	0.5
receiver	E	6	0.015300000000000001	FALSE	TRUE	0.5
receiver	E	7	0.015199999999999998	FALSE	TRUE	0.5
receiver	E	8	0.017100000000000004	FALSE	TRUE	0.5
receiver	E	9	0.017100000000000004	FALSE	TRUE	0.5
receiver	E	10	0.017300000000000003	FALSE	TRUE	0.5
receiver	E	11	0.017100000000000004	FALSE	TRUE	0.5
receiver	E	12	0.016100000000000003	FALSE	TRUE	NA
receiver	F	1	0.0466	TRUE	TRUE	0.5
receiver	F	2	0.016399999999999998	FALSE	TRUE	0.5
receiver	F	3	0.0169	FALSE	TRUE	0.5
receiver	F	4	0.0167	FALSE	TRUE	0.5
receiver	F	5	0.017100000000000004	FALSE	TRUE	0.5
receiver	F	6	0.016399999999999998	FALSE	TRUE	0.5
receiver	F	7	0.0167	FALSE	TRUE	0.5
receiver	F	8	0.017	FALSE	TRUE	0.5
receiver	F	9	0.0169	FALSE	TRUE	0.5
receiver	F	10	0.0174	FALSE	TRUE	0.5
receiver	F	11	0.017	FALSE	TRUE	0.5
receiver	F	12	0.016	FALSE	TRUE	NA
receiver	G	1	0.0639	TRUE	TRUE	0.5
receiver	G	2	0.0158	FALSE	TRUE	0.5
receiver	G	3	0.016300000000000002	FALSE	TRUE	0.5
receiver	G	4	0.0167	FALSE	TRUE	0.5
receiver	G	5	0.0167	FALSE	TRUE	0.5
receiver	G	6	0.016399999999999998	FALSE	TRUE	0.5
receiver	G	7	0.016399999999999998	FALSE	TRUE	0.5
receiver	G	8	0.016600000000000004	FALSE	TRUE	0.5
receiver	G	9	0.018300000000000004	FALSE	TRUE	0.5
receiver	G	10	0.017100000000000004	FALSE	TRUE	0.5
receiver	G	11	0.0167	FALSE	TRUE	0.5
receiver	G	12	0.016	FALSE	TRUE	NA
receiver	H	1	0.0847	TRUE	TRUE	0.5
receiver	H	2	0.016	FALSE	TRUE	0.5
receiver	H	3	0.0162	FALSE	TRUE	0.5
receiver	H	4	0.016399999999999998	FALSE	TRUE	0.5
receiver	H	5	0.015600000000000003	FALSE	TRUE	0.5
receiver	H	6	0.016100000000000003	FALSE	TRUE	0.5
receiver	H	7	0.015600000000000003	FALSE	TRUE	0.5
receiver	H	8	0.015600000000000003	FALSE	TRUE	0.5
receiver	H	9	0.0158	FALSE	TRUE	0.5
receiver	H	10	0.016300000000000002	FALSE	TRUE	0.5
receiver	H	11	0.016800000000000002	FALSE	TRUE	0.5
receiver	H	12	0.016300000000000002	FALSE	TRUE	NA
