strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
donor	A	1	0.1421	TRUE	TRUE	0.2
donor	A	2	0.25570000000000004	TRUE	TRUE	0.15000000000000002
donor	A	3	0.2848	TRUE	TRUE	0.11250000000000002
donor	A	4	0.2765	TRUE	TRUE	0.084375
donor	A	5	0.28750000000000003	TRUE	TRUE	0.06328125000000001
donor	A	6	0.21560000000000001	TRUE	TRUE	0.04746093750000001
donor	A	7	0.2786	TRUE	TRUE	0.035595703125
donor	A	8	0.16360000000000002	TRUE	TRUE	0.026696777343750002
donor	A	9	0.16699999999999998	TRUE	TRUE	0.0200225830078125
donor	A	10	0.1845	TRUE	TRUE	0.015016937255859376
donor	A	11	-0.0022999999999999965	FALSE	TRUE	0.2
donor	A	12	-0.0024999999999999953	FALSE	TRUE	0.2
donor	B	1	0.25320000000000004	TRUE	TRUE	0.2
donor	B	2	0.23660000000000003	TRUE	TRUE	0.15000000000000002
donor	B	3	0.2419	TRUE	TRUE	0.11250000000000002
donor	B	4	0.32630000000000003	TRUE	TRUE	0.084375
donor	B	5	0.3	TRUE	TRUE	0.06328125000000001
donor	B	6	0.19669999999999999	TRUE	TRUE	0.04746093750000001
donor	B	7	0.271	TRUE	TRUE	0.035595703125
donor	B	8	0.198	TRUE	TRUE	0.026696777343750002
donor	B	9	0.20029999999999998	TRUE	TRUE	0.0200225830078125
donor	B	10	0.1901	TRUE	TRUE	0.015016937255859376
donor	B	11	6.000000000000033e-4	FALSE	TRUE	0.2
donor	B	12	6.000000000000033e-4	FALSE	TRUE	0.2
donor	C	1	0.2025	TRUE	TRUE	0.2
donor	C	2	0.22500000000000003	TRUE	TRUE	0.15000000000000002
donor	C	3	0.3049	TRUE	TRUE	0.11250000000000002
donor	C	4	0.34	TRUE	TRUE	0.084375
donor	C	5	0.31	TRUE	TRUE	0.06328125000000001
donor	C	6	0.2042	TRUE	TRUE	0.04746093750000001
donor	C	7	0.2087	TRUE	TRUE	0.035595703125
donor	C	8	0.2681	TRUE	TRUE	0.026696777343750002
donor	C	9	0.2509	TRUE	TRUE	0.0200225830078125
donor	C	10	0.2501	TRUE	TRUE	0.015016937255859376
donor	C	11	0.0011999999999999997	FALSE	TRUE	0
donor	C	12	0.0015000000000000013	FALSE	TRUE	0
donor	D	1	0.239	TRUE	TRUE	0.2
donor	D	2	0.2223	TRUE	TRUE	0.15000000000000002
donor	D	3	0.3247	TRUE	TRUE	0.11250000000000002
donor	D	4	0.3121	TRUE	TRUE	0.084375
donor	D	5	0.2927	TRUE	TRUE	0.06328125000000001
donor	D	6	0.22970000000000002	TRUE	TRUE	0.04746093750000001
donor	D	7	0.2254	TRUE	TRUE	0.035595703125
donor	D	8	0.18819999999999998	TRUE	TRUE	0.026696777343750002
donor	D	9	0.23350000000000004	TRUE	TRUE	0.0200225830078125
donor	D	10	0.24710000000000004	TRUE	TRUE	0.015016937255859376
donor	D	11	6.000000000000033e-4	FALSE	TRUE	0
donor	D	12	4.000000000000045e-4	FALSE	TRUE	0
donor	E	1	0.22820000000000001	TRUE	TRUE	0.2
donor	E	2	0.277	TRUE	TRUE	0.15000000000000002
donor	E	3	0.3055	TRUE	TRUE	0.11250000000000002
donor	E	4	0.2908	TRUE	TRUE	0.084375
donor	E	5	0.3317	TRUE	TRUE	0.06328125000000001
donor	E	6	0.178	TRUE	TRUE	0.04746093750000001
donor	E	7	0.25020000000000003	TRUE	TRUE	0.035595703125
donor	E	8	0.21790000000000004	TRUE	TRUE	0.026696777343750002
donor	E	9	0.22860000000000003	TRUE	TRUE	0.0200225830078125
donor	E	10	0.255	TRUE	TRUE	0.015016937255859376
donor	E	11	0.0013999999999999985	FALSE	TRUE	0
donor	E	12	5.000000000000004e-4	FALSE	TRUE	0
donor	F	1	0.3279	TRUE	TRUE	0.2
donor	F	2	0.3669	TRUE	TRUE	0.15000000000000002
donor	F	3	0.393	TRUE	TRUE	0.11250000000000002
donor	F	4	0.36920000000000003	TRUE	TRUE	0.084375
donor	F	5	0.3069	TRUE	TRUE	0.06328125000000001
donor	F	6	0.2586	TRUE	TRUE	0.04746093750000001
donor	F	7	0.26480000000000004	TRUE	TRUE	0.035595703125
donor	F	8	0.22260000000000002	TRUE	TRUE	0.026696777343750002
donor	F	9	0.20990000000000003	TRUE	TRUE	0.0200225830078125
donor	F	10	0.21140000000000003	TRUE	TRUE	0.015016937255859376
donor	F	11	0.0015000000000000013	FALSE	TRUE	0
donor	F	12	0.006200000000000004	FALSE	TRUE	0
donor	G	1	0.3316	TRUE	TRUE	0.2
donor	G	2	0.31970000000000004	TRUE	TRUE	0.15000000000000002
donor	G	3	0.37920000000000004	TRUE	TRUE	0.11250000000000002
donor	G	4	0.3201	TRUE	TRUE	0.084375
donor	G	5	0.3798	TRUE	TRUE	0.06328125000000001
donor	G	6	0.324	TRUE	TRUE	0.04746093750000001
donor	G	7	0.3513	TRUE	TRUE	0.035595703125
donor	G	8	0.2989	TRUE	TRUE	0.026696777343750002
donor	G	9	0.20940000000000003	TRUE	TRUE	0.0200225830078125
donor	G	10	0.23920000000000002	TRUE	TRUE	0.015016937255859376
donor	G	11	0.0011999999999999997	FALSE	TRUE	0
donor	G	12	1.999999999999988e-4	FALSE	TRUE	0
donor	H	1	0.35750000000000004	TRUE	TRUE	0.2
donor	H	2	0.2771	TRUE	TRUE	0.15000000000000002
donor	H	3	0.31020000000000003	TRUE	TRUE	0.11250000000000002
donor	H	4	0.3408	TRUE	TRUE	0.084375
donor	H	5	0.318	TRUE	TRUE	0.06328125000000001
donor	H	6	0.2614	TRUE	TRUE	0.04746093750000001
donor	H	7	0.2806	TRUE	TRUE	0.035595703125
donor	H	8	0.2062	TRUE	TRUE	0.026696777343750002
donor	H	9	0.19130000000000003	TRUE	TRUE	0.0200225830078125
donor	H	10	0.2705	TRUE	TRUE	0.015016937255859376
donor	H	11	0.0011000000000000038	FALSE	TRUE	0
donor	H	12	1.999999999999988e-4	FALSE	TRUE	0
receiver	A	1	0.7198	TRUE	TRUE	0.5
receiver	A	2	0.6570999999999999	TRUE	TRUE	0.5
receiver	A	3	0.7112999999999999	TRUE	TRUE	0.5
receiver	A	4	0.6235999999999999	TRUE	TRUE	0.5
receiver	A	5	0.6584	TRUE	TRUE	0.5
receiver	A	6	0.6522	TRUE	TRUE	0.5
