strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
donor	A	1	0.0958	TRUE	TRUE	0.5
donor	A	2	0.1205	TRUE	TRUE	0.25
donor	A	3	0.10949999999999999	TRUE	TRUE	0.125
donor	A	4	0.1048	TRUE	TRUE	0.0625
donor	A	5	0.1056	TRUE	TRUE	0.03125
donor	A	6	0.11449999999999999	TRUE	TRUE	0.5
donor	A	7	0.11029999999999998	TRUE	TRUE	0.25
donor	A	8	0.1217	TRUE	TRUE	0.125
donor	A	9	0.1367	TRUE	TRUE	0.0625
donor	A	10	0.11349999999999999	TRUE	TRUE	0.03125
donor	A	11	0.10069999999999998	TRUE	TRUE	0.2
donor	A	12	0.11379999999999998	TRUE	TRUE	0.2
donor	B	1	0.11909999999999998	TRUE	TRUE	0.5
donor	B	2	0.10089999999999999	TRUE	TRUE	0.25
donor	B	3	0.11679999999999999	TRUE	TRUE	0.125
donor	B	4	0.1157	TRUE	TRUE	0.0625
donor	B	5	0.12039999999999998	TRUE	TRUE	0.03125
donor	B	6	0.1275	TRUE	TRUE	0.5
donor	B	7	0.1354	TRUE	TRUE	0.25
donor	B	8	0.1353	TRUE	TRUE	0.125
donor	B	9	0.12769999999999998	TRUE	TRUE	0.0625
donor	B	10	0.1286	TRUE	TRUE	0.03125
donor	B	11	0.12519999999999998	TRUE	TRUE	0.2
donor	B	12	0.1517	TRUE	TRUE	0.2
donor	C	1	0.1294	TRUE	TRUE	0.5
donor	C	2	0.11559999999999998	TRUE	TRUE	0.25
donor	C	3	0.11479999999999999	TRUE	TRUE	0.125
donor	C	4	0.12869999999999998	TRUE	TRUE	0.0625
donor	C	5	0.15039999999999998	TRUE	TRUE	0.03125
donor	C	6	0.128	TRUE	TRUE	0.5
donor	C	7	0.1293	TRUE	TRUE	0.25
donor	C	8	0.12819999999999998	TRUE	TRUE	0.125
donor	C	9	0.12869999999999998	TRUE	TRUE	0.0625
donor	C	10	0.11939999999999998	TRUE	TRUE	0.03125
donor	C	11	0.1306	TRUE	TRUE	0
donor	C	12	0.13949999999999999	TRUE	TRUE	0
donor	D	1	0.10569999999999999	TRUE	TRUE	0.5
donor	D	2	0.1101	TRUE	TRUE	0.25
donor	D	3	0.12489999999999998	TRUE	TRUE	0.125
donor	D	4	0.1304	TRUE	TRUE	0.0625
donor	D	5	0.1387	TRUE	TRUE	0.03125
donor	D	6	0.1154	TRUE	TRUE	0.5
donor	D	7	0.1415	TRUE	TRUE	0.25
donor	D	8	0.1387	TRUE	TRUE	0.125
donor	D	9	0.1273	TRUE	TRUE	0.0625
donor	D	10	0.12489999999999998	TRUE	TRUE	0.03125
donor	D	11	0.13149999999999998	TRUE	TRUE	0
donor	D	12	0.161	TRUE	TRUE	0
donor	E	1	0.13629999999999998	TRUE	TRUE	0.5
donor	E	2	0.119	TRUE	TRUE	0.25
donor	E	3	0.12259999999999999	TRUE	TRUE	0.125
donor	E	4	0.1465	TRUE	TRUE	0.0625
donor	E	5	0.1576	TRUE	TRUE	0.03125
donor	E	6	0.1358	TRUE	TRUE	0.5
donor	E	7	0.152	TRUE	TRUE	0.25
donor	E	8	0.1449	TRUE	TRUE	0.125
donor	E	9	0.1474	TRUE	TRUE	0.0625
donor	E	10	0.1377	TRUE	TRUE	0.03125
donor	E	11	0.1316	TRUE	TRUE	0
donor	E	12	0.13899999999999998	TRUE	TRUE	0
donor	F	1	0.1442	TRUE	TRUE	0.5
donor	F	2	0.1541	TRUE	TRUE	0.25
donor	F	3	0.13199999999999998	TRUE	TRUE	0.125
donor	F	4	0.13199999999999998	TRUE	TRUE	0.0625
donor	F	5	0.1684	TRUE	TRUE	0.03125
donor	F	6	0.1261	TRUE	TRUE	0.5
donor	F	7	0.1664	TRUE	TRUE	0.25
donor	F	8	0.14629999999999999	TRUE	TRUE	0.125
donor	F	9	0.1656	TRUE	TRUE	0.0625
donor	F	10	0.1684	TRUE	TRUE	0.03125
donor	F	11	0.14329999999999998	TRUE	TRUE	0
donor	F	12	0.1359	TRUE	TRUE	0
donor	G	1	0.1502	TRUE	TRUE	0.5
donor	G	2	0.16649999999999998	TRUE	TRUE	0.25
donor	G	3	0.1384	TRUE	TRUE	0.125
donor	G	4	0.1498	TRUE	TRUE	0.0625
donor	G	5	0.16319999999999998	TRUE	TRUE	0.03125
donor	G	6	0.142	TRUE	TRUE	0.5
donor	G	7	0.1656	TRUE	TRUE	0.25
donor	G	8	0.17129999999999998	TRUE	TRUE	0.125
donor	G	9	0.17099999999999999	TRUE	TRUE	0.0625
donor	G	10	0.17229999999999998	TRUE	TRUE	0.03125
donor	G	11	0.18009999999999998	TRUE	TRUE	0
donor	G	12	0.1638	TRUE	TRUE	0
donor	H	1	0.13419999999999999	TRUE	TRUE	0.5
donor	H	2	0.1268	TRUE	TRUE	0.25
donor	H	3	0.12569999999999998	TRUE	TRUE	0.125
donor	H	4	0.13749999999999998	TRUE	TRUE	0.0625
donor	H	5	0.1472	TRUE	TRUE	0.03125
donor	H	6	0.144	TRUE	TRUE	0.5
donor	H	7	0.1389	TRUE	TRUE	0.25
donor	H	8	0.12489999999999998	TRUE	TRUE	0.125
donor	H	9	0.12209999999999999	TRUE	TRUE	0.0625
donor	H	10	0.1147	TRUE	TRUE	0.03125
donor	H	11	0.12339999999999998	TRUE	TRUE	0
donor	H	12	0.13979999999999998	TRUE	TRUE	0
receiver	A	1	0.6919	TRUE	TRUE	0.5
receiver	A	2	0.8258	TRUE	TRUE	0.5
receiver	A	3	0.7878999999999999	TRUE	TRUE	0.5
receiver	A	4	1.0422	TRUE	TRUE	0.5
receiver	A	5	1.0548	TRUE	TRUE	0.5
receiver	A	6	0.13779999999999998	TRUE	TRUE	0.5
receiver	A	7	0.13049999999999998	TRUE	TRUE	0.5
receiver	A	8	0.1416	TRUE	TRUE	0.5
receiver	A	9	0.1353	TRUE	TRUE	0.5
receiver	A	10	0.1255	TRUE	TRUE	0.5
receiver	A	11	1.2148999999999999	TRUE	TRUE	0
receiver	A	12	1.1939	TRUE	TRUE	0
receiver	B	1	0.6784	TRUE	TRUE	0.3333333333333333
receiver	B	2	0.8503	TRUE	TRUE	0.3333333333333333
receiver	B	3	0.8108	TRUE	TRUE	0.3333333333333333
receiver	B	4	0.9130999999999999	TRUE	TRUE	0.3333333333333333
receiver	B	5	0.9927999999999999	TRUE	TRUE	0.3333333333333333
receiver	B	6	0.07869999999999999	TRUE	TRUE	0.3333333333333333
receiver	B	7	0.12719999999999998	TRUE	TRUE	0.3333333333333333
receiver	B	8	0.0784	TRUE	TRUE	0.3333333333333333
receiver	B	9	0.0821	TRUE	TRUE	0.3333333333333333
receiver	B	10	0.11159999999999998	TRUE	TRUE	0.3333333333333333
receiver	B	11	0.9666999999999999	TRUE	TRUE	0
receiver	B	12	0.8931	TRUE	TRUE	0
receiver	C	1	0.6932999999999999	TRUE	TRUE	0.2222222222222222
receiver	C	2	0.6033	TRUE	TRUE	0.2222222222222222
receiver	C	3	0.7634	TRUE	TRUE	0.2222222222222222
receiver	C	4	0.7515	TRUE	TRUE	0.2222222222222222
receiver	C	5	0.7978	TRUE	TRUE	0.2222222222222222
receiver	C	6	0.0771	TRUE	TRUE	0.2222222222222222
receiver	C	7	0.0945	TRUE	TRUE	0.2222222222222222
receiver	C	8	0.0794	TRUE	TRUE	0.2222222222222222
receiver	C	9	0.0844	TRUE	TRUE	0.2222222222222222
receiver	C	10	0.09179999999999999	TRUE	TRUE	0.2222222222222222
receiver	C	11	0.8473999999999999	TRUE	TRUE	0.5
receiver	C	12	0.9072	TRUE	TRUE	0.5
receiver	D	1	0.6678999999999999	TRUE	TRUE	0.14814814814814814
receiver	D	2	0.7318	TRUE	TRUE	0.14814814814814814
receiver	D	3	0.7311	TRUE	TRUE	0.14814814814814814
receiver	D	4	0.7298	TRUE	TRUE	0.14814814814814814
receiver	D	5	0.7915	TRUE	TRUE	0.14814814814814814
receiver	D	6	0.053899999999999997	TRUE	TRUE	0.14814814814814814
receiver	D	7	0.061099999999999995	TRUE	TRUE	0.14814814814814814
receiver	D	8	0.0784	TRUE	TRUE	0.14814814814814814
receiver	D	9	0.0915	TRUE	TRUE	0.14814814814814814
receiver	D	10	0.0973	TRUE	TRUE	0.14814814814814814
receiver	D	11	0.8609	TRUE	TRUE	0.5
receiver	D	12	0.8595999999999999	TRUE	TRUE	0.5
