strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
donor	A	1	0.15889999999999999	TRUE	TRUE	0.1
donor	A	2	0.2011	TRUE	TRUE	0.1
donor	A	3	0.1707	TRUE	TRUE	0.1
donor	A	4	0.1764	TRUE	TRUE	0.1
donor	A	5	0.18969999999999998	TRUE	TRUE	0.1
donor	A	6	0.2105	TRUE	TRUE	0.1
donor	A	7	0.2019	TRUE	TRUE	0.1
donor	A	8	0.23039999999999997	TRUE	TRUE	0.1
donor	A	9	0.18689999999999998	TRUE	TRUE	0.1
donor	A	10	0.1008	TRUE	TRUE	0.1
donor	A	11	0.145	TRUE	TRUE	0.1
donor	A	12	0.1371	TRUE	TRUE	0.1
donor	B	1	0.13449999999999998	TRUE	TRUE	0.1
donor	B	2	0.1842	TRUE	TRUE	0.1
donor	B	3	0.17409999999999998	TRUE	TRUE	0.1
donor	B	4	0.177	TRUE	TRUE	0.1
donor	B	5	0.1677	TRUE	TRUE	0.1
donor	B	6	0.22390000000000002	TRUE	TRUE	0.1
donor	B	7	0.19599999999999998	TRUE	TRUE	0.1
donor	B	8	0.1984	TRUE	TRUE	0.1
donor	B	9	0.1886	TRUE	TRUE	0.1
donor	B	10	0.1981	TRUE	TRUE	0.1
donor	B	11	0.1918	TRUE	TRUE	0.1
donor	B	12	0.18389999999999998	TRUE	TRUE	0.1
donor	C	1	0.12619999999999998	TRUE	TRUE	0.1
donor	C	2	0.1404	TRUE	TRUE	0.1
donor	C	3	0.16649999999999998	TRUE	TRUE	0.1
donor	C	4	0.1497	TRUE	TRUE	0.1
donor	C	5	0.18539999999999998	TRUE	TRUE	0.1
donor	C	6	0.1933	TRUE	TRUE	0.1
donor	C	7	0.1956	TRUE	TRUE	0.1
donor	C	8	0.20909999999999998	TRUE	TRUE	0.1
donor	C	9	0.1958	TRUE	TRUE	0.1
donor	C	10	0.19799999999999998	TRUE	TRUE	0.1
donor	C	11	0.2093	TRUE	TRUE	0
donor	C	12	0.22129999999999997	TRUE	TRUE	0
donor	D	1	0.1654	TRUE	TRUE	0.1
donor	D	2	0.1311	TRUE	TRUE	0.1
donor	D	3	0.14329999999999998	TRUE	TRUE	0.1
donor	D	4	0.1434	TRUE	TRUE	0.1
donor	D	5	0.1916	TRUE	TRUE	0.1
donor	D	6	0.2175	TRUE	TRUE	0.1
donor	D	7	0.2026	TRUE	TRUE	0.1
donor	D	8	0.2054	TRUE	TRUE	0.1
donor	D	9	0.20509999999999998	TRUE	TRUE	0.1
donor	D	10	0.21779999999999997	TRUE	TRUE	0.1
donor	D	11	0.2437	TRUE	TRUE	0
donor	D	12	0.2072	TRUE	TRUE	0
donor	E	1	0.12409999999999999	TRUE	TRUE	0.1
donor	E	2	0.14049999999999999	TRUE	TRUE	0.1
donor	E	3	0.16469999999999999	TRUE	TRUE	0.1
donor	E	4	0.1919	TRUE	TRUE	0.1
donor	E	5	0.1369	TRUE	TRUE	0.1
donor	E	6	0.15309999999999999	TRUE	TRUE	0.1
donor	E	7	0.16979999999999998	TRUE	TRUE	0.1
donor	E	8	0.208	TRUE	TRUE	0.1
donor	E	9	0.19569999999999999	TRUE	TRUE	0.1
donor	E	10	0.20779999999999998	TRUE	TRUE	0.1
donor	E	11	0.24639999999999998	TRUE	TRUE	0
donor	E	12	0.19979999999999998	TRUE	TRUE	0
donor	F	1	0.1619	TRUE	TRUE	0.1
donor	F	2	0.1353	TRUE	TRUE	0.1
donor	F	3	0.1576	TRUE	TRUE	0.1
donor	F	4	0.1682	TRUE	TRUE	0.1
donor	F	5	0.1943	TRUE	TRUE	0.1
donor	F	6	0.1465	TRUE	TRUE	0.1
donor	F	7	0.2075	TRUE	TRUE	0.1
donor	F	8	0.22240000000000001	TRUE	TRUE	0.1
donor	F	9	0.2311	TRUE	TRUE	0.1
donor	F	10	0.1973	TRUE	TRUE	0.1
donor	F	11	0.2054	TRUE	TRUE	0
donor	F	12	0.21280000000000002	TRUE	TRUE	0
donor	G	1	0.17859999999999998	TRUE	TRUE	0.1
donor	G	2	0.1243	TRUE	TRUE	0.1
donor	G	3	0.1732	TRUE	TRUE	0.1
donor	G	4	0.14959999999999998	TRUE	TRUE	0.1
donor	G	5	0.16649999999999998	TRUE	TRUE	0.1
donor	G	6	0.11549999999999999	TRUE	TRUE	0.1
donor	G	7	0.1984	TRUE	TRUE	0.1
donor	G	8	0.2174	TRUE	TRUE	0.1
donor	G	9	0.2342	TRUE	TRUE	0.1
donor	G	10	0.1901	TRUE	TRUE	0.1
donor	G	11	0.20479999999999998	TRUE	TRUE	0
donor	G	12	0.2555	TRUE	TRUE	0
donor	H	1	0.1785	TRUE	TRUE	0.1
donor	H	2	0.21829999999999997	TRUE	TRUE	0.1
donor	H	3	0.1605	TRUE	TRUE	0.1
donor	H	4	0.17709999999999998	TRUE	TRUE	0.1
donor	H	5	0.1905	TRUE	TRUE	0.1
donor	H	6	0.1921	TRUE	TRUE	0.1
donor	H	7	0.19449999999999998	TRUE	TRUE	0.1
donor	H	8	0.1929	TRUE	TRUE	0.1
donor	H	9	0.19879999999999998	TRUE	TRUE	0.1
donor	H	10	0.1696	TRUE	TRUE	0.1
donor	H	11	0.1908	TRUE	TRUE	0
donor	H	12	0.23800000000000002	TRUE	TRUE	0
receiver	A	1	1.0358	TRUE	TRUE	0.1
receiver	A	2	0.0691	TRUE	TRUE	0.1
receiver	A	3	0.0376	TRUE	TRUE	0.1
receiver	A	4	0.025	TRUE	TRUE	0.1
receiver	A	5	0.014599999999999995	FALSE	TRUE	0.1
receiver	A	6	0.010099999999999998	FALSE	TRUE	0.1
receiver	A	7	0.0014999999999999944	FALSE	TRUE	0.1
receiver	A	8	0.001899999999999999	FALSE	TRUE	0.1
receiver	A	9	-1.0000000000000286e-4	FALSE	TRUE	0.1
receiver	A	10	-0.0011999999999999997	FALSE	TRUE	0.1
receiver	A	11	1.0283	TRUE	TRUE	0
receiver	A	12	0.976	TRUE	TRUE	0
receiver	B	1	0.8016	TRUE	TRUE	0.1
