strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
helper	A	1	0.2426	TRUE	TRUE	0.2
helper	A	2	0.11080000000000001	TRUE	TRUE	0.2
helper	A	3	0.166	TRUE	TRUE	0.2
helper	A	4	0.125	TRUE	TRUE	0.2
helper	A	5	0.1339	TRUE	TRUE	0.2
helper	A	6	0.1152	TRUE	TRUE	0.2
helper	A	7	0.0829	TRUE	TRUE	0.2
helper	A	8	0.1369	TRUE	TRUE	0.2
helper	A	9	0.092	TRUE	TRUE	0.2
helper	A	10	0.12210000000000001	TRUE	TRUE	0.2
helper	A	11	0.1407	TRUE	TRUE	0.2
helper	A	12	0.1314	TRUE	TRUE	0
helper	B	1	0.1202	TRUE	TRUE	0.13333333333333333
helper	B	2	0.10830000000000001	TRUE	TRUE	0.13333333333333333
helper	B	3	0.1192	TRUE	TRUE	0.13333333333333333
helper	B	4	0.1271	TRUE	TRUE	0.13333333333333333
helper	B	5	0.1386	TRUE	TRUE	0.13333333333333333
helper	B	6	0.1584	TRUE	TRUE	0.13333333333333333
helper	B	7	0.1597	TRUE	TRUE	0.13333333333333333
helper	B	8	0.1392	TRUE	TRUE	0.13333333333333333
helper	B	9	0.1124	TRUE	TRUE	0.13333333333333333
helper	B	10	0.1349	TRUE	TRUE	0.13333333333333333
helper	B	11	0.1322	TRUE	TRUE	0.13333333333333333
helper	B	12	0.2186	TRUE	TRUE	0
helper	C	1	0.1013	TRUE	TRUE	0.08888888888888889
helper	C	2	0.10220000000000001	TRUE	TRUE	0.08888888888888889
helper	C	3	0.1515	TRUE	TRUE	0.08888888888888889
helper	C	4	0.11000000000000001	TRUE	TRUE	0.08888888888888889
helper	C	5	0.1275	TRUE	TRUE	0.08888888888888889
helper	C	6	0.1268	TRUE	TRUE	0.08888888888888889
helper	C	7	0.10370000000000001	TRUE	TRUE	0.08888888888888889
helper	C	8	0.11000000000000001	TRUE	TRUE	0.08888888888888889
helper	C	9	0.1081	TRUE	TRUE	0.08888888888888889
helper	C	10	0.1433	TRUE	TRUE	0.08888888888888889
helper	C	11	0.1139	TRUE	TRUE	0.08888888888888889
helper	C	12	0.1431	TRUE	TRUE	0
helper	D	1	0.1001	TRUE	TRUE	0.05925925925925926
helper	D	2	0.11929999999999999	TRUE	TRUE	0.05925925925925926
helper	D	3	0.1312	TRUE	TRUE	0.05925925925925926
helper	D	4	0.1716	TRUE	TRUE	0.05925925925925926
helper	D	5	0.1412	TRUE	TRUE	0.05925925925925926
helper	D	6	0.1477	TRUE	TRUE	0.05925925925925926
helper	D	7	0.1345	TRUE	TRUE	0.05925925925925926
helper	D	8	0.1615	TRUE	TRUE	0.05925925925925926
helper	D	9	0.12229999999999999	TRUE	TRUE	0.05925925925925926
helper	D	10	0.1157	TRUE	TRUE	0.05925925925925926
helper	D	11	0.1109	TRUE	TRUE	0.05925925925925926
helper	D	12	0.2043	TRUE	TRUE	0
helper	E	1	0.0996	TRUE	TRUE	0.03950617283950617
helper	E	2	0.12140000000000001	TRUE	TRUE	0.03950617283950617
helper	E	3	0.121	TRUE	TRUE	0.03950617283950617
helper	E	4	0.1325	TRUE	TRUE	0.03950617283950617
helper	E	5	0.1427	TRUE	TRUE	0.03950617283950617
helper	E	6	0.1033	TRUE	TRUE	0.03950617283950617
helper	E	7	0.1276	TRUE	TRUE	0.03950617283950617
helper	E	8	0.1518	TRUE	TRUE	0.03950617283950617
helper	E	9	0.1327	TRUE	TRUE	0.03950617283950617
helper	E	10	0.1137	TRUE	TRUE	0.03950617283950617
helper	E	11	0.1603	TRUE	TRUE	0.03950617283950617
helper	E	12	0.1687	TRUE	TRUE	0
helper	F	1	0.2028	TRUE	TRUE	0.02633744855967078
helper	F	2	0.1192	TRUE	TRUE	0.02633744855967078
helper	F	3	0.12390000000000001	TRUE	TRUE	0.02633744855967078
helper	F	4	0.22480000000000003	TRUE	TRUE	0.02633744855967078
helper	F	5	0.1729	TRUE	TRUE	0.02633744855967078
helper	F	6	0.1615	TRUE	TRUE	0.02633744855967078
helper	F	7	0.1732	TRUE	TRUE	0.02633744855967078
helper	F	8	0.1506	TRUE	TRUE	0.02633744855967078
helper	F	9	0.1396	TRUE	TRUE	0.02633744855967078
helper	F	10	0.1637	TRUE	TRUE	0.02633744855967078
helper	F	11	0.1671	TRUE	TRUE	0.02633744855967078
helper	F	12	0.1727	TRUE	TRUE	0
helper	G	1	0.14100000000000001	TRUE	TRUE	0.017558299039780522
helper	G	2	0.1314	TRUE	TRUE	0.017558299039780522
helper	G	3	0.11549999999999999	TRUE	TRUE	0.017558299039780522
helper	G	4	0.1302	TRUE	TRUE	0.017558299039780522
helper	G	5	0.1319	TRUE	TRUE	0.017558299039780522
helper	G	6	0.133	TRUE	TRUE	0.017558299039780522
helper	G	7	0.1605	TRUE	TRUE	0.017558299039780522
helper	G	8	0.1322	TRUE	TRUE	0.017558299039780522
helper	G	9	0.1779	TRUE	TRUE	0.017558299039780522
helper	G	10	0.1608	TRUE	TRUE	0.017558299039780522
helper	G	11	0.1952	TRUE	TRUE	0.017558299039780522
helper	G	12	0.1179	TRUE	TRUE	0.2
helper	H	1	0.18460000000000001	TRUE	TRUE	0.011705532693187014
helper	H	2	0.2265	TRUE	TRUE	0.011705532693187014
helper	H	3	0.16620000000000001	TRUE	TRUE	0.011705532693187014
helper	H	4	0.1876	TRUE	TRUE	0.011705532693187014
helper	H	5	0.2001	TRUE	TRUE	0.011705532693187014
helper	H	6	0.2017	TRUE	TRUE	0.011705532693187014
helper	H	7	0.1343	TRUE	TRUE	0.011705532693187014
helper	H	8	0.2005	TRUE	TRUE	0.011705532693187014
helper	H	9	0.1516	TRUE	TRUE	0.011705532693187014
helper	H	10	0.1787	TRUE	TRUE	0.011705532693187014
helper	H	11	0.1626	TRUE	TRUE	0.011705532693187014
helper	H	12	0.1269	TRUE	TRUE	0.2
donor	A	1	0.10039999999999999	TRUE	TRUE	0.2
donor	A	2	0.0635	TRUE	TRUE	0.15000000000000002
donor	A	3	0.0634	TRUE	TRUE	0.11250000000000002
donor	A	4	0.055099999999999996	TRUE	TRUE	0.084375
donor	A	5	0.0562	TRUE	TRUE	0.06328125000000001
donor	A	6	0.0827	TRUE	TRUE	0.04746093750000001
donor	A	7	0.0322	TRUE	TRUE	0.035595703125
donor	A	8	0.0811	TRUE	TRUE	0.026696777343750002
donor	A	9	0.0461	TRUE	TRUE	0.0200225830078125
donor	A	10	0.0432	TRUE	TRUE	0.015016937255859376
donor	A	11	0.0397	TRUE	TRUE	0.011262702941894532
donor	A	12	0.0674	TRUE	TRUE	0
donor	B	1	0.11910000000000001	TRUE	TRUE	0.2
donor	B	2	0.10170000000000001	TRUE	TRUE	0.15000000000000002
donor	B	3	0.09640000000000001	TRUE	TRUE	0.11250000000000002
donor	B	4	0.07730000000000001	TRUE	TRUE	0.084375
donor	B	5	0.0659	TRUE	TRUE	0.06328125000000001
donor	B	6	0.0674	TRUE	TRUE	0.04746093750000001
donor	B	7	0.0582	TRUE	TRUE	0.035595703125
donor	B	8	0.0698	TRUE	TRUE	0.026696777343750002
donor	B	9	0.069	TRUE	TRUE	0.0200225830078125
donor	B	10	0.0752	TRUE	TRUE	0.015016937255859376
donor	B	11	0.0601	TRUE	TRUE	0.011262702941894532
donor	B	12	0.0659	TRUE	TRUE	0
donor	C	1	0.0881	TRUE	TRUE	0.2
donor	C	2	0.0747	TRUE	TRUE	0.15000000000000002
donor	C	3	0.0804	TRUE	TRUE	0.11250000000000002
donor	C	4	0.0664	TRUE	TRUE	0.084375
donor	C	5	0.064	TRUE	TRUE	0.06328125000000001
donor	C	6	0.0685	TRUE	TRUE	0.04746093750000001
donor	C	7	0.060200000000000004	TRUE	TRUE	0.035595703125
donor	C	8	0.0743	TRUE	TRUE	0.026696777343750002
donor	C	9	0.06130000000000001	TRUE	TRUE	0.0200225830078125
donor	C	10	0.0671	TRUE	TRUE	0.015016937255859376
donor	C	11	0.0639	TRUE	TRUE	0.011262702941894532
donor	C	12	0.0869	TRUE	TRUE	0
donor	D	1	0.0876	TRUE	TRUE	0.2
donor	D	2	0.0824	TRUE	TRUE	0.15000000000000002
donor	D	3	0.0735	TRUE	TRUE	0.11250000000000002
donor	D	4	0.07680000000000001	TRUE	TRUE	0.084375
donor	D	5	0.0819	TRUE	TRUE	0.06328125000000001
donor	D	6	0.0638	TRUE	TRUE	0.04746093750000001
donor	D	7	0.0615	TRUE	TRUE	0.035595703125
donor	D	8	0.0651	TRUE	TRUE	0.026696777343750002
donor	D	9	0.06180000000000001	TRUE	TRUE	0.0200225830078125
donor	D	10	0.076	TRUE	TRUE	0.015016937255859376
donor	D	11	0.0643	TRUE	TRUE	0.011262702941894532
donor	D	12	0.1119	TRUE	TRUE	0
donor	E	1	0.08600000000000001	TRUE	TRUE	0.2
donor	E	2	0.0941	TRUE	TRUE	0.15000000000000002
donor	E	3	0.0834	TRUE	TRUE	0.11250000000000002
donor	E	4	0.0741	TRUE	TRUE	0.084375
donor	E	5	0.0755	TRUE	TRUE	0.06328125000000001
donor	E	6	0.0683	TRUE	TRUE	0.04746093750000001
donor	E	7	0.0518	TRUE	TRUE	0.035595703125
donor	E	8	0.054400000000000004	TRUE	TRUE	0.026696777343750002
donor	E	9	0.062299999999999994	TRUE	TRUE	0.0200225830078125
donor	E	10	0.0733	TRUE	TRUE	0.015016937255859376
donor	E	11	0.0737	TRUE	TRUE	0.011262702941894532
donor	E	12	0.0808	TRUE	TRUE	0.2
donor	F	1	0.1005	TRUE	TRUE	0.2
donor	F	2	0.0823	TRUE	TRUE	0.15000000000000002
donor	F	3	0.0754	TRUE	TRUE	0.11250000000000002
donor	F	4	0.058800000000000005	TRUE	TRUE	0.084375
donor	F	5	0.08020000000000001	TRUE	TRUE	0.06328125000000001
donor	F	6	0.0829	TRUE	TRUE	0.04746093750000001
donor	F	7	0.0655	TRUE	TRUE	0.035595703125
donor	F	8	0.0576	TRUE	TRUE	0.026696777343750002
donor	F	9	0.0616	TRUE	TRUE	0.0200225830078125
donor	F	10	0.0694	TRUE	TRUE	0.015016937255859376
donor	F	11	0.0688	TRUE	TRUE	0.011262702941894532
donor	F	12	0.0823	TRUE	TRUE	0.2
donor	G	1	0.1302	TRUE	TRUE	0.2
donor	G	2	0.0714	TRUE	TRUE	0.15000000000000002
donor	G	3	0.0745	TRUE	TRUE	0.11250000000000002
donor	G	4	0.0772	TRUE	TRUE	0.084375
donor	G	5	0.062	TRUE	TRUE	0.06328125000000001
donor	G	6	0.064	TRUE	TRUE	0.04746093750000001
donor	G	7	0.059800000000000006	TRUE	TRUE	0.035595703125
donor	G	8	0.0582	TRUE	TRUE	0.026696777343750002
donor	G	9	0.0611	TRUE	TRUE	0.0200225830078125
donor	G	10	0.0616	TRUE	TRUE	0.015016937255859376
donor	G	11	0.0635	TRUE	TRUE	0.011262702941894532
donor	G	12	0.0747	TRUE	TRUE	0
donor	H	1	0.1366	TRUE	TRUE	0.2
donor	H	2	0.10969999999999999	TRUE	TRUE	0.15000000000000002
donor	H	3	0.0917	TRUE	TRUE	0.11250000000000002
donor	H	4	0.0806	TRUE	TRUE	0.084375
donor	H	5	0.07730000000000001	TRUE	TRUE	0.06328125000000001
donor	H	6	0.082	TRUE	TRUE	0.04746093750000001
donor	H	7	0.0638	TRUE	TRUE	0.035595703125
donor	H	8	0.050600000000000006	TRUE	TRUE	0.026696777343750002
donor	H	9	0.0548	TRUE	TRUE	0.0200225830078125
donor	H	10	0.0495	TRUE	TRUE	0.015016937255859376
donor	H	11	0.06520000000000001	TRUE	TRUE	0.011262702941894532
donor	H	12	0.0504	TRUE	TRUE	0
receiver	A	1	0.46809999999999996	TRUE	TRUE	0.25
receiver	A	2	0.4718	TRUE	TRUE	0.25
receiver	A	3	0.5525	TRUE	TRUE	0.25
receiver	A	4	0.45820000000000005	TRUE	TRUE	0.25
receiver	A	5	0.5044	TRUE	TRUE	0.25
receiver	A	6	0.4709	TRUE	TRUE	0.25
receiver	A	7	0.5645	TRUE	TRUE	0.25
receiver	A	8	0.5005999999999999	TRUE	TRUE	0.25
receiver	A	9	0.5377	TRUE	TRUE	0.25
receiver	A	10	0.47	TRUE	TRUE	0.25
receiver	A	11	0.5728	TRUE	TRUE	0.25
receiver	A	12	0.4588	TRUE	TRUE	0.25
receiver	B	1	0.5329999999999999	TRUE	TRUE	0.25
receiver	B	2	0.5665	TRUE	TRUE	0.25
receiver	B	3	0.5328999999999999	TRUE	TRUE	0.25
receiver	B	4	0.5593	TRUE	TRUE	0.25
receiver	B	5	0.5149	TRUE	TRUE	0.25
receiver	B	6	0.5199	TRUE	TRUE	0.25
receiver	B	7	0.5851	TRUE	TRUE	0.25
receiver	B	8	0.5912999999999999	TRUE	TRUE	0.25
receiver	B	9	0.5363	TRUE	TRUE	0.25
receiver	B	10	0.4875999999999999	TRUE	TRUE	0.25
receiver	B	11	0.46209999999999996	TRUE	TRUE	0.25
