strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
donor	A	1	0.15969999999999998	TRUE	TRUE	0.2
donor	A	2	0.10929999999999998	TRUE	TRUE	0.1
donor	A	3	0.1444	TRUE	TRUE	0.05
donor	A	4	0.1553	TRUE	TRUE	0.025
donor	A	5	0.15239999999999998	TRUE	TRUE	0.0125
donor	A	6	0.12179999999999999	TRUE	TRUE	0.2
donor	A	7	0.1321	TRUE	TRUE	0.1
donor	A	8	0.1352	TRUE	TRUE	0.05
donor	A	9	0.13069999999999998	TRUE	TRUE	0.025
donor	A	10	0.08939999999999998	TRUE	TRUE	0.0125
donor	A	11	-0.002700000000000001	FALSE	TRUE	0
donor	A	12	-0.002800000000000004	FALSE	TRUE	0
donor	B	1	0.14479999999999998	TRUE	TRUE	0.2
donor	B	2	0.1639	TRUE	TRUE	0.1
donor	B	3	0.13829999999999998	TRUE	TRUE	0.05
donor	B	4	0.2099	TRUE	TRUE	0.025
donor	B	5	0.19219999999999998	TRUE	TRUE	0.0125
donor	B	6	0.1857	TRUE	TRUE	0.2
donor	B	7	0.1934	TRUE	TRUE	0.1
donor	B	8	0.1838	TRUE	TRUE	0.05
donor	B	9	0.1638	TRUE	TRUE	0.025
donor	B	10	0.1736	TRUE	TRUE	0.0125
donor	B	11	0.0013999999999999985	FALSE	TRUE	0
donor	B	12	0.001799999999999996	FALSE	TRUE	0
donor	C	1	0.15669999999999998	TRUE	TRUE	0.2
donor	C	2	0.1594	TRUE	TRUE	0.1
donor	C	3	0.18359999999999999	TRUE	TRUE	0.05
donor	C	4	0.1691	TRUE	TRUE	0.025
donor	C	5	0.1638	TRUE	TRUE	0.0125
donor	C	6	0.13649999999999998	TRUE	TRUE	0.2
donor	C	7	0.1331	TRUE	TRUE	0.1
donor	C	8	0.1601	TRUE	TRUE	0.05
donor	C	9	0.19369999999999998	TRUE	TRUE	0.025
donor	C	10	0.161	TRUE	TRUE	0.0125
donor	C	11	0.0023999999999999994	FALSE	TRUE	0
donor	C	12	0.0022999999999999965	FALSE	TRUE	0
donor	D	1	0.19669999999999999	TRUE	TRUE	0.2
donor	D	2	0.16849999999999998	TRUE	TRUE	0.1
donor	D	3	0.18109999999999998	TRUE	TRUE	0.05
donor	D	4	0.1722	TRUE	TRUE	0.025
donor	D	5	0.14029999999999998	TRUE	TRUE	0.0125
donor	D	6	0.1321	TRUE	TRUE	0.2
donor	D	7	0.12009999999999998	TRUE	TRUE	0.1
donor	D	8	0.14809999999999998	TRUE	TRUE	0.05
donor	D	9	0.1384	TRUE	TRUE	0.025
donor	D	10	0.1512	TRUE	TRUE	0.0125
donor	D	11	0.0022999999999999965	FALSE	TRUE	0
donor	D	12	0.001999999999999995	FALSE	TRUE	0
donor	E	1	0.1941	TRUE	TRUE	0.2
donor	E	2	0.192	TRUE	TRUE	0.1
donor	E	3	0.22769999999999999	TRUE	TRUE	0.05
donor	E	4	0.16299999999999998	TRUE	TRUE	0.025
donor	E	5	0.1717	TRUE	TRUE	0.0125
donor	E	6	0.094	TRUE	TRUE	0.2
donor	E	7	0.0973	TRUE	TRUE	0.1
donor	E	8	0.1366	TRUE	TRUE	0.05
donor	E	9	0.1376	TRUE	TRUE	0.025
donor	E	10	0.1369	TRUE	TRUE	0.0125
donor	E	11	0.0024999999999999953	FALSE	TRUE	0
donor	E	12	0.001899999999999999	FALSE	TRUE	0
donor	F	1	0.1944	TRUE	TRUE	0.2
donor	F	2	0.1969	TRUE	TRUE	0.1
donor	F	3	0.1979	TRUE	TRUE	0.05
donor	F	4	0.19469999999999998	TRUE	TRUE	0.025
donor	F	5	0.1578	TRUE	TRUE	0.0125
donor	F	6	0.1144	TRUE	TRUE	0.2
donor	F	7	0.1344	TRUE	TRUE	0.1
donor	F	8	0.1449	TRUE	TRUE	0.05
donor	F	9	0.14329999999999998	TRUE	TRUE	0.025
donor	F	10	0.1422	TRUE	TRUE	0.0125
donor	F	11	6.999999999999992e-4	FALSE	TRUE	0
donor	F	12	3.999999999999976e-4	FALSE	TRUE	0
donor	G	1	0.1616	TRUE	TRUE	0.2
donor	G	2	0.1571	TRUE	TRUE	0.1
donor	G	3	0.1606	TRUE	TRUE	0.05
donor	G	4	0.24399999999999997	TRUE	TRUE	0.025
donor	G	5	0.15719999999999998	TRUE	TRUE	0.0125
donor	G	6	0.1347	TRUE	TRUE	0.2
donor	G	7	0.17509999999999998	TRUE	TRUE	0.1
donor	G	8	0.15539999999999998	TRUE	TRUE	0.05
donor	G	9	0.12239999999999998	TRUE	TRUE	0.025
donor	G	10	0.12419999999999998	TRUE	TRUE	0.0125
donor	G	11	0.0058	FALSE	TRUE	0
donor	G	12	0.0046	FALSE	TRUE	0
donor	H	1	0.13069999999999998	TRUE	TRUE	0.2
donor	H	2	0.1462	TRUE	TRUE	0.1
donor	H	3	0.1588	TRUE	TRUE	0.05
donor	H	4	0.155	TRUE	TRUE	0.025
donor	H	5	0.16219999999999998	TRUE	TRUE	0.0125
donor	H	6	0.15239999999999998	TRUE	TRUE	0.2
donor	H	7	0.14559999999999998	TRUE	TRUE	0.1
donor	H	8	0.14459999999999998	TRUE	TRUE	0.05
donor	H	9	0.13929999999999998	TRUE	TRUE	0.025
donor	H	10	0.1794	TRUE	TRUE	0.0125
donor	H	11	0.0031999999999999945	FALSE	TRUE	0
donor	H	12	0.0015999999999999973	FALSE	TRUE	0
receiver	A	1	0.6493	TRUE	TRUE	0.5
receiver	A	2	0.6602	TRUE	TRUE	0.5
receiver	A	3	0.7205999999999999	TRUE	TRUE	0.5
receiver	A	4	0.7243999999999999	TRUE	TRUE	0.5
receiver	A	5	0.6946	TRUE	TRUE	0.5
receiver	A	6	0.7198	TRUE	TRUE	0.5
receiver	A	7	0.6761999999999999	TRUE	TRUE	0.5
receiver	A	8	0.7041999999999999	TRUE	TRUE	0.5
receiver	A	9	0.6556	TRUE	TRUE	0.5
receiver	A	10	0.6595	TRUE	TRUE	0.5
receiver	A	11	0.6708999999999999	TRUE	TRUE	0
receiver	A	12	0.8140999999999999	TRUE	TRUE	0
receiver	B	1	0.6453	TRUE	TRUE	0.3333333333333333
receiver	B	2	0.7114999999999999	TRUE	TRUE	0.3333333333333333
receiver	B	3	0.6926	TRUE	TRUE	0.3333333333333333
receiver	B	4	0.6946	TRUE	TRUE	0.3333333333333333
receiver	B	5	0.6657	TRUE	TRUE	0.3333333333333333
receiver	B	6	0.7252	TRUE	TRUE	0.3333333333333333
receiver	B	7	0.7294999999999999	TRUE	TRUE	0.3333333333333333
receiver	B	8	0.7174999999999999	TRUE	TRUE	0.3333333333333333
receiver	B	9	0.7878999999999999	TRUE	TRUE	0.3333333333333333
receiver	B	10	0.7751	TRUE	TRUE	0.3333333333333333
receiver	B	11	0.7082999999999999	TRUE	TRUE	0
receiver	B	12	0.8634999999999999	TRUE	TRUE	0
receiver	C	1	0.6348999999999999	TRUE	TRUE	0.2222222222222222
receiver	C	2	0.6386	TRUE	TRUE	0.2222222222222222
receiver	C	3	0.6744	TRUE	TRUE	0.2222222222222222
receiver	C	4	0.6361	TRUE	TRUE	0.2222222222222222
receiver	C	5	0.7244999999999999	TRUE	TRUE	0.2222222222222222
receiver	C	6	0.7066	TRUE	TRUE	0.2222222222222222
receiver	C	7	0.739	TRUE	TRUE	0.2222222222222222
receiver	C	8	0.6753	TRUE	TRUE	0.2222222222222222
receiver	C	9	0.7041	TRUE	TRUE	0.2222222222222222
receiver	C	10	0.8023	TRUE	TRUE	0.2222222222222222
receiver	C	11	0.8157	TRUE	TRUE	0
receiver	C	12	0.6525	TRUE	TRUE	0
receiver	D	1	0.6645	TRUE	TRUE	0.14814814814814814
receiver	D	2	0.7358	TRUE	TRUE	0.14814814814814814
receiver	D	3	0.6979	TRUE	TRUE	0.14814814814814814
receiver	D	4	0.7011999999999999	TRUE	TRUE	0.14814814814814814
receiver	D	5	0.688	TRUE	TRUE	0.14814814814814814
receiver	D	6	0.4624	TRUE	TRUE	0.14814814814814814
receiver	D	7	0.4169	TRUE	TRUE	0.14814814814814814
receiver	D	8	0.3234	TRUE	TRUE	0.14814814814814814
receiver	D	9	0.6861999999999999	TRUE	TRUE	0.14814814814814814
receiver	D	10	0.7414999999999999	TRUE	TRUE	0.14814814814814814
receiver	D	11	0.8080999999999999	TRUE	TRUE	0
receiver	D	12	0.7157	TRUE	TRUE	0
receiver	E	1	0.7827999999999999	TRUE	TRUE	0.09876543209876543
receiver	E	2	0.6948	TRUE	TRUE	0.09876543209876543
receiver	E	3	0.7131	TRUE	TRUE	0.09876543209876543
receiver	E	4	0.7389	TRUE	TRUE	0.09876543209876543
receiver	E	5	0.7267	TRUE	TRUE	0.09876543209876543
receiver	E	6	0.46549999999999997	TRUE	TRUE	0.09876543209876543
receiver	E	7	0.25920000000000004	TRUE	TRUE	0.09876543209876543
receiver	E	8	0.5694	TRUE	TRUE	0.09876543209876543
receiver	E	9	0.6925	TRUE	TRUE	0.09876543209876543
receiver	E	10	0.7371	TRUE	TRUE	0.09876543209876543
receiver	E	11	0.8272999999999999	TRUE	TRUE	0
receiver	E	12	0.8469	TRUE	TRUE	0
receiver	F	1	0.7029	TRUE	TRUE	0.06584362139917695
receiver	F	2	0.6780999999999999	TRUE	TRUE	0.06584362139917695
receiver	F	3	0.6725	TRUE	TRUE	0.06584362139917695
receiver	F	4	0.7356999999999999	TRUE	TRUE	0.06584362139917695
receiver	F	5	0.7491	TRUE	TRUE	0.06584362139917695
receiver	F	6	0.4561	TRUE	TRUE	0.06584362139917695
receiver	F	7	0.8349	TRUE	TRUE	0.06584362139917695
receiver	F	8	0.7683	TRUE	TRUE	0.06584362139917695
receiver	F	9	0.7297	TRUE	TRUE	0.06584362139917695
receiver	F	10	0.8902	TRUE	TRUE	0.06584362139917695
receiver	F	11	0.7827999999999999	TRUE	TRUE	0
receiver	F	12	0.9967999999999999	TRUE	TRUE	0
receiver	G	1	0.7187	TRUE	TRUE	0.0438957475994513
receiver	G	2	0.7809999999999999	TRUE	TRUE	0.0438957475994513
receiver	G	3	0.8069	TRUE	TRUE	0.0438957475994513
receiver	G	4	0.8287	TRUE	TRUE	0.0438957475994513
receiver	G	5	0.8039999999999999	TRUE	TRUE	0.0438957475994513
