row_ID	col_ID	correction_factor_combined
A	1	0.22
B	1	0.28
C	1	0.3
D	1	0.25
E	1	0.32
F	1	0.34
G	1	0.35
H	1	0.31
A	2	0.56
B	2	0.47
C	2	0.54
D	2	0.51
E	2	0.56
F	2	0.72
G	2	0.78
H	2	0.59
A	3	1
B	3	1
C	3	1
D	3	1
E	3	1
F	3	1
G	3	1
H	3	1
A	4	1
B	4	1
C	4	1
D	4	1
E	4	1
F	4	1
G	4	1
H	4	1
A	5	1
B	5	1
C	5	1
D	5	1
E	5	1
F	5	1
G	5	1
H	5	1
A	6	0.27
B	6	0.28
C	6	0.3
D	6	0.27
E	6	0.32
F	6	0.29
G	6	0.33
H	6	0.34
A	7	0.3
B	7	0.45
C	7	0.5
D	7	0.48
E	7	0.71
F	7	0.78
G	7	0.77
H	7	0.65
A	8	0.33
B	8	0.27
C	8	0.42
D	8	0.62
E	8	0.97
F	8	1
G	8	1
H	8	1
A	9	0.32
B	9	0.29
C	9	0.44
D	9	0.72
E	9	0.96
F	9	1
G	9	1
H	9	1
A	10	0.29
B	10	0.39
C	10	0.48
D	10	0.77
E	10	1
F	10	1
G	10	1
H	10	1
A	11	0.59
B	11	0.73
C	11	1
D	11	1
E	11	1
F	11	1
G	11	1
H	11	1
A	12	0.66
B	12	0.88
C	12	1
D	12	1
E	12	1
F	12	1
G	12	1
H	12	1
