source_plate,source_position,dest_plate,dest_position,transfer_volume
donor,1,dest_plate,1,150
donor,1,dest_plate,1,200
donor,2,dest_plate,2,150
donor,2,dest_plate,2,200
donor,3,dest_plate,3,142
donor,3,dest_plate,3,200
donor,4,dest_plate,4,179
donor,5,dest_plate,5,89
donor,6,dest_plate,6,150
donor,6,dest_plate,6,200
donor,7,dest_plate,7,7
donor,7,dest_plate,7,200
donor,8,dest_plate,8,102
donor,9,dest_plate,9,43
donor,10,dest_plate,10,24
donor,11,dest_plate,11,150
donor,11,dest_plate,11,200
donor,12,dest_plate,12,150
donor,12,dest_plate,12,200
donor,13,dest_plate,13,150
donor,13,dest_plate,13,200
donor,14,dest_plate,14,150
donor,14,dest_plate,14,200
donor,15,dest_plate,15,121
donor,15,dest_plate,15,200
donor,16,dest_plate,16,162
donor,17,dest_plate,17,78
donor,18,dest_plate,18,124
donor,18,dest_plate,18,200
donor,19,dest_plate,19,47
donor,19,dest_plate,19,200
donor,20,dest_plate,20,76
donor,21,dest_plate,21,42
donor,22,dest_plate,22,28
donor,23,dest_plate,23,150
donor,23,dest_plate,23,200
donor,24,dest_plate,24,150
donor,24,dest_plate,24,200
donor,25,dest_plate,25,150
donor,25,dest_plate,25,200
donor,26,dest_plate,26,150
donor,26,dest_plate,26,200
donor,27,dest_plate,27,127
donor,27,dest_plate,27,200
donor,28,dest_plate,28,146
donor,29,dest_plate,29,62
donor,30,dest_plate,30,150
donor,30,dest_plate,30,200
donor,31,dest_plate,31,88
donor,31,dest_plate,31,200
donor,32,dest_plate,32,122
donor,33,dest_plate,33,65
donor,34,dest_plate,34,38
donor,37,dest_plate,37,150
donor,37,dest_plate,37,200
donor,38,dest_plate,38,150
donor,38,dest_plate,38,200
donor,39,dest_plate,39,100
donor,39,dest_plate,39,200
donor,40,dest_plate,40,144
donor,41,dest_plate,41,68
donor,42,dest_plate,42,150
donor,42,dest_plate,42,200
donor,43,dest_plate,43,55
donor,43,dest_plate,43,200
donor,44,dest_plate,44,167
donor,45,dest_plate,45,106
donor,46,dest_plate,46,58
donor,49,dest_plate,49,150
donor,49,dest_plate,49,200
donor,50,dest_plate,50,150
donor,50,dest_plate,50,200
donor,51,dest_plate,51,106
donor,51,dest_plate,51,200
donor,52,dest_plate,52,128
donor,53,dest_plate,53,59
donor,54,dest_plate,54,150
donor,54,dest_plate,54,200
donor,55,dest_plate,55,150
donor,55,dest_plate,55,200
donor,56,dest_plate,56,51
donor,56,dest_plate,56,200
donor,57,dest_plate,57,122
donor,58,dest_plate,58,68
donor,61,dest_plate,61,150
donor,61,dest_plate,61,200
donor,62,dest_plate,62,150
donor,62,dest_plate,62,200
donor,63,dest_plate,63,84
donor,63,dest_plate,63,200
donor,64,dest_plate,64,142
donor,65,dest_plate,65,56
donor,66,dest_plate,66,150
donor,66,dest_plate,66,200
donor,67,dest_plate,67,150
donor,67,dest_plate,67,200
donor,68,dest_plate,68,56
donor,68,dest_plate,68,200
donor,69,dest_plate,69,113
donor,70,dest_plate,70,56
donor,74,dest_plate,74,150
donor,74,dest_plate,74,200
donor,75,dest_plate,75,71
donor,75,dest_plate,75,200
donor,76,dest_plate,76,125
donor,77,dest_plate,77,57
donor,78,dest_plate,78,150
donor,78,dest_plate,78,200
donor,79,dest_plate,79,150
donor,79,dest_plate,79,200
donor,80,dest_plate,80,19
donor,80,dest_plate,80,200
donor,81,dest_plate,81,110
donor,82,dest_plate,82,54
donor,87,dest_plate,87,98
donor,87,dest_plate,87,200
donor,90,dest_plate,90,150
donor,90,dest_plate,90,200
donor,91,dest_plate,91,150
donor,91,dest_plate,91,200
donor,92,dest_plate,92,100
donor,92,dest_plate,92,200
donor,93,dest_plate,93,154
donor,94,dest_plate,94,82
