source_plate,source_position,dest_plate,dest_position,transfer_volume
receiver,1,dest_plate,1,48
receiver,2,dest_plate,2,102
receiver,3,dest_plate,3,190
receiver,4,dest_plate,4,144
receiver,5,dest_plate,5,142
receiver,6,dest_plate,6,91
receiver,6,dest_plate,6,200
receiver,7,dest_plate,7,150
receiver,7,dest_plate,7,200
receiver,8,dest_plate,8,150
receiver,8,dest_plate,8,200
receiver,9,dest_plate,9,150
receiver,9,dest_plate,9,200
receiver,10,dest_plate,10,150
receiver,10,dest_plate,10,200
receiver,13,dest_plate,13,41
receiver,14,dest_plate,14,55
receiver,15,dest_plate,15,123
receiver,16,dest_plate,16,110
receiver,17,dest_plate,17,101
receiver,18,dest_plate,18,150
receiver,18,dest_plate,18,200
receiver,19,dest_plate,19,150
receiver,19,dest_plate,19,200
receiver,20,dest_plate,20,150
receiver,20,dest_plate,20,200
receiver,21,dest_plate,21,150
receiver,21,dest_plate,21,200
receiver,22,dest_plate,22,150
receiver,22,dest_plate,22,200
receiver,25,dest_plate,25,29
receiver,26,dest_plate,26,60
receiver,27,dest_plate,27,87
receiver,28,dest_plate,28,89
receiver,29,dest_plate,29,84
receiver,30,dest_plate,30,58
receiver,30,dest_plate,30,200
receiver,31,dest_plate,31,150
receiver,31,dest_plate,31,200
receiver,32,dest_plate,32,150
receiver,32,dest_plate,32,200
receiver,33,dest_plate,33,150
receiver,33,dest_plate,33,200
receiver,34,dest_plate,34,150
receiver,34,dest_plate,34,200
receiver,35,dest_plate,35,177
receiver,36,dest_plate,36,165
receiver,37,dest_plate,37,16
receiver,38,dest_plate,38,31
receiver,39,dest_plate,39,61
receiver,40,dest_plate,40,61
receiver,41,dest_plate,41,56
receiver,42,dest_plate,42,22
receiver,42,dest_plate,42,200
receiver,43,dest_plate,43,150
receiver,43,dest_plate,43,200
receiver,44,dest_plate,44,150
receiver,44,dest_plate,44,200
receiver,45,dest_plate,45,150
receiver,45,dest_plate,45,200
receiver,46,dest_plate,46,150
receiver,46,dest_plate,46,200
receiver,47,dest_plate,47,174
receiver,48,dest_plate,48,174
receiver,49,dest_plate,49,13
receiver,50,dest_plate,50,25
receiver,51,dest_plate,51,40
receiver,52,dest_plate,52,41
receiver,53,dest_plate,53,37
receiver,54,dest_plate,54,180
receiver,55,dest_plate,55,147
receiver,55,dest_plate,55,200
receiver,56,dest_plate,56,150
receiver,56,dest_plate,56,200
receiver,57,dest_plate,57,150
receiver,57,dest_plate,57,200
receiver,58,dest_plate,58,119
receiver,58,dest_plate,58,200
receiver,61,dest_plate,61,11
receiver,62,dest_plate,62,20
receiver,63,dest_plate,63,26
receiver,64,dest_plate,64,24
receiver,65,dest_plate,65,26
receiver,66,dest_plate,66,75
receiver,67,dest_plate,67,159
receiver,68,dest_plate,68,23
receiver,68,dest_plate,68,200
receiver,69,dest_plate,69,50
receiver,69,dest_plate,69,200
receiver,70,dest_plate,70,4
receiver,70,dest_plate,70,200
receiver,74,dest_plate,74,11
receiver,75,dest_plate,75,21
receiver,76,dest_plate,76,14
receiver,77,dest_plate,77,15
receiver,78,dest_plate,78,54
receiver,79,dest_plate,79,114
receiver,80,dest_plate,80,87
receiver,81,dest_plate,81,159
receiver,82,dest_plate,82,148
receiver,87,dest_plate,87,39
receiver,90,dest_plate,90,24
receiver,91,dest_plate,91,69
receiver,92,dest_plate,92,62
receiver,93,dest_plate,93,111
receiver,94,dest_plate,94,79
