strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	A	1	0.0958	TRUE	TRUE	0.5	1565.7620041753655	FALSE	0.2235333333333333	350	398.4607602254661	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.22	transfer_volume_fail
donor	A	2	0.1205	TRUE	TRUE	0.25	622.4066390041494	FALSE	0.5623333333333334	350	452.14337612012594	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.56	transfer_volume_fail
donor	A	3	0.1095	TRUE	TRUE	0.125	342.4657534246575	TRUE	1	342.4657534246575	532.8452432076249	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	A	4	0.1048	TRUE	TRUE	0.0625	178.91221374045801	TRUE	1	178.91221374045801	322.8385234698766	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	A	5	0.1056	TRUE	TRUE	0.03125	88.7784090909091	TRUE	1	88.7784090909091	230.9854625607612	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	A	6	0.1145	TRUE	TRUE	0.5	1310.0436681222707	FALSE	0.26716666666666666	350	640.8200290275763	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.27	transfer_volume_fail
donor	A	7	0.11029999999999998	TRUE	TRUE	0.25	679.9637352674525	FALSE	0.30449999999999994	207.04895738893924	557.0489573889392	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.3	transfer_volume_fail
donor	A	8	0.1217	TRUE	TRUE	0.125	308.13475760065734	FALSE	0.33039999999999997	101.80772391125717	451.8077239112572	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.33	transfer_volume_fail
donor	A	9	0.1367	TRUE	TRUE	0.0625	137.1616678858815	FALSE	0.31570000000000004	43.301938551572796	393.3019385515728	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.32	transfer_volume_fail
donor	A	10	0.1135	TRUE	TRUE	0.03125	82.59911894273128	FALSE	0.29283333333333333	24.187775330396477	374.18777533039645	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.29	transfer_volume_fail
donor	A	11	0.10069999999999998	TRUE	TRUE	0.2	595.829195630586	FALSE	0.5874166666666666	350	350	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.59	transfer_volume_fail
donor	A	12	0.11379999999999998	TRUE	TRUE	0.2	527.2407732864675	FALSE	0.6638333333333333	350	350	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.66	transfer_volume_fail
donor	B	1	0.11909999999999998	TRUE	TRUE	0.5	1259.4458438287156	FALSE	0.2778999999999999	350	390.9640330188679	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.28	transfer_volume_fail
donor	B	2	0.1009	TRUE	TRUE	0.25	743.3102081268582	FALSE	0.4708666666666667	350	405.37653377239405	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.47	transfer_volume_fail
donor	B	3	0.1168	TRUE	TRUE	0.125	321.06164383561645	TRUE	1	321.06164383561645	444.39662163532046	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	B	4	0.1157	TRUE	TRUE	0.0625	162.057044079516	TRUE	1	162.057044079516	271.5740739776652	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	B	5	0.12039999999999998	TRUE	TRUE	0.03125	77.8654485049834	TRUE	1	77.8654485049834	178.5906701004709	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	B	6	0.1275	TRUE	TRUE	0.5	1176.4705882352941	FALSE	0.27545	324.05882352941177	674.0588235294117	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.28	transfer_volume_fail
donor	B	7	0.1354	TRUE	TRUE	0.25	553.9143279172822	FALSE	0.44519999999999993	246.602658788774	596.602658788774	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.45	transfer_volume_fail
donor	B	8	0.1353	TRUE	TRUE	0.125	277.16186252771615	FALSE	0.2744	76.0532150776053	426.0532150776053	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.27	transfer_volume_fail
donor	B	9	0.12769999999999998	TRUE	TRUE	0.0625	146.82850430696948	FALSE	0.28735000000000005	42.191170712607686	392.1911707126077	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.29	transfer_volume_fail
donor	B	10	0.1286	TRUE	TRUE	0.03125	72.90046656298601	FALSE	0.39059999999999995	28.474922239502334	378.47492223950235	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.39	transfer_volume_fail
donor	B	11	0.12519999999999998	TRUE	TRUE	0.2	479.2332268370608	FALSE	0.7303333333333332	350	350	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.73	transfer_volume_fail
donor	B	12	0.1517	TRUE	TRUE	0.2	395.5174686882004	FALSE	0.8849166666666667	350	350	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.88	transfer_volume_fail
donor	C	1	0.1294	TRUE	TRUE	0.5	1159.1962905718703	FALSE	0.3019333333333333	350	379.03344712085516	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.3	transfer_volume_fail
donor	C	2	0.11559999999999998	TRUE	TRUE	0.25	648.7889273356402	FALSE	0.5394666666666666	350	409.61286995598283	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.54	transfer_volume_fail
donor	C	3	0.1148	TRUE	TRUE	0.125	326.6550522648084	TRUE	1	326.6550522648084	413.98366985279193	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	4	0.12869999999999998	TRUE	TRUE	0.0625	145.6876456876457	TRUE	1	145.6876456876457	234.39911164462063	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	5	0.15039999999999998	TRUE	TRUE	0.03125	62.33377659574469	TRUE	1	62.33377659574469	145.89690854193003	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
