row_ID	col_ID	correction_factor_combined
A	1	1
B	1	1
C	1	1
D	1	1
E	1	1
F	1	1
G	1	1
H	1	1
A	2	0.81
B	2	1
C	2	0.9
D	2	0.88
E	2	0.84
F	2	0.71
G	2	0.7
H	2	0.95
A	3	0.44
B	3	0.55
C	3	0.57
D	3	0.61
E	3	0.49
F	3	0.47
G	3	0.62
H	3	0.45
A	4	0.29
B	4	0.33
C	4	0.39
D	4	0.52
E	4	0.45
F	4	0.33
G	4	0.37
H	4	0.31
A	5	0.17
B	5	0.21
C	5	0.26
D	5	0.22
E	5	0.27
F	5	0.27
G	5	0.24
H	5	0.24
A	6	0.12
B	6	0.09
C	6	0.15
D	6	0.14
E	6	0.17
F	6	0.15
G	6	0.16
H	6	0.15
A	7	0.02
B	7	0.06
C	7	0.08
D	7	0.05
E	7	0.11
F	7	0.06
G	7	0.13
H	7	0.07
A	8	0.02
B	8	0.01
C	8	0.04
D	8	0.02
E	8	0.05
F	8	0.06
G	8	0.05
H	8	0.03
A	9	1
B	9	0.01
C	9	0.03
D	9	0.02
E	9	0.03
F	9	0.02
G	9	0.04
H	9	0.01
A	10	1
B	10	0.01
C	10	0.05
D	10	0.04
E	10	0.04
F	10	1
G	10	0.04
H	10	0.1
A	11	1
B	11	1
C	11	1
D	11	1
E	11	1
F	11	1
G	11	1
H	11	1
A	12	1
B	12	1
C	12	1
D	12	1
E	12	1
F	12	1
G	12	1
H	12	1
