source_plate,source_position,dest_plate,dest_position,transfer_volume
donor,1,dest_plate,1,189
donor,2,dest_plate,2,120
donor,3,dest_plate,3,77
donor,4,dest_plate,4,50
donor,11,dest_plate,11,7
donor,11,dest_plate,11,200
donor,12,dest_plate,12,19
donor,12,dest_plate,12,200
donor,13,dest_plate,13,23
donor,13,dest_plate,13,200
donor,14,dest_plate,14,163
donor,15,dest_plate,15,95
donor,16,dest_plate,16,56
donor,23,dest_plate,23,156
donor,24,dest_plate,24,163
donor,25,dest_plate,25,38
donor,25,dest_plate,25,200
donor,26,dest_plate,26,193
donor,27,dest_plate,27,103
donor,28,dest_plate,28,78
donor,29,dest_plate,29,42
donor,37,dest_plate,37,181
donor,38,dest_plate,38,2
donor,38,dest_plate,38,200
donor,39,dest_plate,39,127
donor,40,dest_plate,40,109
donor,49,dest_plate,49,42
donor,49,dest_plate,49,200
donor,50,dest_plate,50,180
donor,51,dest_plate,51,89
donor,52,dest_plate,52,71
donor,53,dest_plate,53,60
donor,61,dest_plate,61,185
donor,62,dest_plate,62,158
donor,63,dest_plate,63,90
donor,64,dest_plate,64,59
donor,65,dest_plate,65,41
donor,73,dest_plate,73,168
donor,74,dest_plate,74,170
donor,75,dest_plate,75,107
donor,76,dest_plate,76,74
donor,77,dest_plate,77,43
donor,85,dest_plate,85,168
donor,86,dest_plate,86,130
donor,87,dest_plate,87,84
donor,88,dest_plate,88,53
donor,89,dest_plate,89,37
