source_plate,source_position,dest_plate,dest_position,transfer_volume
receiver,1,dest_plate,1,29
receiver,2,dest_plate,2,150
receiver,2,dest_plate,2,200
receiver,3,dest_plate,3,150
receiver,3,dest_plate,3,200
receiver,4,dest_plate,4,150
receiver,4,dest_plate,4,200
receiver,13,dest_plate,13,37
receiver,14,dest_plate,14,107
receiver,14,dest_plate,14,200
receiver,15,dest_plate,15,150
receiver,15,dest_plate,15,200
receiver,16,dest_plate,16,150
receiver,16,dest_plate,16,200
receiver,25,dest_plate,25,37
receiver,26,dest_plate,26,150
receiver,26,dest_plate,26,200
receiver,27,dest_plate,27,150
receiver,27,dest_plate,27,200
receiver,28,dest_plate,28,150
receiver,28,dest_plate,28,200
receiver,29,dest_plate,29,150
receiver,29,dest_plate,29,200
receiver,35,dest_plate,35,29
receiver,36,dest_plate,36,33
receiver,37,dest_plate,37,35
receiver,38,dest_plate,38,150
receiver,38,dest_plate,38,200
receiver,39,dest_plate,39,150
receiver,39,dest_plate,39,200
receiver,40,dest_plate,40,150
receiver,40,dest_plate,40,200
receiver,47,dest_plate,47,29
receiver,48,dest_plate,48,31
receiver,49,dest_plate,49,36
receiver,50,dest_plate,50,150
receiver,50,dest_plate,50,200
receiver,51,dest_plate,51,150
receiver,51,dest_plate,51,200
receiver,52,dest_plate,52,150
receiver,52,dest_plate,52,200
receiver,53,dest_plate,53,150
receiver,53,dest_plate,53,200
receiver,61,dest_plate,61,27
receiver,62,dest_plate,62,150
receiver,62,dest_plate,62,200
receiver,63,dest_plate,63,150
receiver,63,dest_plate,63,200
receiver,64,dest_plate,64,150
receiver,64,dest_plate,64,200
receiver,65,dest_plate,65,150
receiver,65,dest_plate,65,200
receiver,73,dest_plate,73,24
receiver,74,dest_plate,74,150
receiver,74,dest_plate,74,200
receiver,75,dest_plate,75,150
receiver,75,dest_plate,75,200
receiver,76,dest_plate,76,150
receiver,76,dest_plate,76,200
receiver,77,dest_plate,77,150
receiver,77,dest_plate,77,200
receiver,85,dest_plate,85,25
receiver,86,dest_plate,86,150
receiver,86,dest_plate,86,200
receiver,87,dest_plate,87,150
receiver,87,dest_plate,87,200
receiver,88,dest_plate,88,150
receiver,88,dest_plate,88,200
receiver,89,dest_plate,89,150
receiver,89,dest_plate,89,200
