strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	A	1	0.1589	TRUE	TRUE	0.1	188.79798615481434	TRUE	1	188.79798615481434	217.7611064483073	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	A	2	0.2011	TRUE	TRUE	0.1	149.17951268025857	FALSE	0.8061666666666666	120.26355047240177	470.2635504724018	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.81	transfer_volume_fail
donor	A	3	0.1707	TRUE	TRUE	0.1	175.7469244288225	FALSE	0.4386666666666667	77.09431751611014	427.09431751611015	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.44	transfer_volume_fail
donor	A	4	0.1764	TRUE	TRUE	0.1	170.06802721088437	FALSE	0.2916666666666667	49.60317460317461	399.6031746031746	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.29	transfer_volume_fail
donor	A	5	0.1897	TRUE	TRUE	0.1	158.144438587243	FALSE	0.1703333333333332	26.937269372693702	376.9372693726937	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.17	limit_fail
donor	A	6	0.2105	TRUE	TRUE	0.1	142.51781472684087	FALSE	0.11783333333333322	16.793349168646067	366.79334916864605	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.12	limit_fail
donor	A	7	0.2019	TRUE	TRUE	0.1	148.5884101040119	FALSE	0.017499999999999884	2.600297176820191	352.6002971768201	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.02	limit_fail
donor	A	8	0.23039999999999997	TRUE	TRUE	0.1	130.20833333333334	FALSE	0.02216666666666655	2.8862847222222072	352.88628472222223	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.02	limit_fail
donor	A	9	0.1869	TRUE	TRUE	0.1	160.51364365971108	TRUE	1	160.51364365971108	-299839.4863563317	TRUE	1	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	1	limit_fail
donor	A	10	0.1008	TRUE	TRUE	0.1	297.6190476190476	TRUE	1	297.6190476190476	-24702.380952381165	TRUE	1	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	1	limit_fail
donor	A	11	0.145	TRUE	TRUE	0.1	206.89655172413794	TRUE	1	206.89655172413794	206.89655172413794	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	A	12	0.1371	TRUE	TRUE	0.1	218.8183807439825	TRUE	1	218.8183807439825	218.8183807439825	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	B	1	0.13449999999999998	TRUE	TRUE	0.1	223.0483271375465	TRUE	1	223.0483271375465	260.4734768381453	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	B	2	0.1842	TRUE	TRUE	0.1	162.86644951140065	TRUE	1	162.86644951140065	469.6149157690694	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	B	3	0.17409999999999998	TRUE	TRUE	0.1	172.31476163124643	FALSE	0.5506666666666666	94.88799540493969	444.8879954049397	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.55	transfer_volume_fail
donor	B	4	0.177	TRUE	TRUE	0.1	169.49152542372883	FALSE	0.3289999999999999	55.76271186440677	405.76271186440675	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.33	transfer_volume_fail
donor	B	5	0.1677	TRUE	TRUE	0.1	178.89087656529517	FALSE	0.21349999999999988	38.193202146690496	388.1932021466905	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.21	limit_fail
donor	B	6	0.2239	TRUE	TRUE	0.1	133.98838767306833	FALSE	0.09099999999999989	12.192943278249203	362.19294327824923	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.09	limit_fail
donor	B	7	0.196	TRUE	TRUE	0.1	153.0612244897959	FALSE	0.06416666666666655	9.821428571428553	359.82142857142856	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.06	limit_fail
donor	B	8	0.1984	TRUE	TRUE	0.1	151.20967741935485	FALSE	0.006999999999999958	1.0584677419354775	351.0584677419355	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.01	limit_fail
donor	B	9	0.1886	TRUE	TRUE	0.1	159.06680805938495	FALSE	0.010499999999999976	1.6702014846235382	351.67020148462353	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.01	limit_fail
donor	B	10	0.1981	TRUE	TRUE	0.1	151.4386673397274	FALSE	0.009333333333333277	1.4134275618374472	351.41342756183747	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.01	limit_fail
donor	B	11	0.1918	TRUE	TRUE	0.1	156.41293013555787	TRUE	1	156.41293013555787	156.41293013555787	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	B	12	0.1839	TRUE	TRUE	0.1	163.1321370309951	TRUE	1	163.1321370309951	163.1321370309951	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	1	0.12619999999999998	TRUE	TRUE	0.1	237.7179080824089	TRUE	1	237.7179080824089	274.24536455385663	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	2	0.1404	TRUE	TRUE	0.1	213.67521367521368	FALSE	0.9029999999999999	192.94871794871793	542.9487179487179	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.9	transfer_volume_fail
donor	C	3	0.16649999999999998	TRUE	TRUE	0.1	180.1801801801802	FALSE	0.5704999999999999	102.79279279279278	452.7927927927928	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.57	transfer_volume_fail
donor	C	4	0.1497	TRUE	TRUE	0.1	200.40080160320642	FALSE	0.38733333333333336	77.621910487641955	427.62191048764197	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.39	transfer_volume_fail
donor	C	5	0.1854	TRUE	TRUE	0.1	161.81229773462783	FALSE	0.2589999999999999	41.90938511326859	391.90938511326857	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.26	transfer_volume_fail
donor	C	6	0.1933	TRUE	TRUE	0.1	155.1991722710812	FALSE	0.1493333333333332	23.176409725814775	373.1764097258148	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.15	limit_fail
donor	C	7	0.1956	TRUE	TRUE	0.1	153.37423312883436	FALSE	0.07816666666666655	11.988752556237202	361.9887525562372	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.08	limit_fail
donor	C	8	0.2091	TRUE	TRUE	0.1	143.47202295552367	FALSE	0.043166666666666555	6.193208990913423	356.19320899091343	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.04	limit_fail
donor	C	9	0.1958	TRUE	TRUE	0.1	153.21756894790602	FALSE	0.03383333333333333	5.1838610827374865	355.1838610827375	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.03	limit_fail
donor	C	10	0.198	TRUE	TRUE	0.1	151.5151515151515	FALSE	0.0455	6.893939393939393	356.8939393939394	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.05	limit_fail
donor	C	11	0.2093	TRUE	TRUE	0	0	TRUE	1	0	28.735632183908045	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	12	0.22129999999999997	TRUE	TRUE	0	0	TRUE	1	0	33.03964757709251	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	D	1	0.1654	TRUE	TRUE	0.1	181.37847642079808	TRUE	1	181.37847642079808	216.55258827447378	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	D	2	0.1311	TRUE	TRUE	0.1	228.8329519450801	FALSE	0.8831666666666665	202.0976353928299	552.09763539282994	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.88	transfer_volume_fail
donor	D	3	0.14329999999999998	TRUE	TRUE	0.1	209.35101186322402	FALSE	0.6078333333333333	127.25052337752966	477.25052337752965	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.61	transfer_volume_fail
donor	D	4	0.1434	TRUE	TRUE	0.1	209.20502092050208	FALSE	0.5226666666666667	109.3444909344491	459.3444909344491	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.52	transfer_volume_fail
donor	D	5	0.1916	TRUE	TRUE	0.1	156.57620041753654	FALSE	0.2239999999999999	35.073068893528166	385.07306889352816	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.22	limit_fail
donor	D	6	0.2175	TRUE	TRUE	0.1	137.93103448275863	FALSE	0.14349999999999988	19.793103448275847	369.7931034482759	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.14	limit_fail
donor	D	7	0.2026	TRUE	TRUE	0.1	148.07502467917078	FALSE	0.05366666666666666	7.946692991115498	357.94669299111547	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.05	limit_fail
donor	D	8	0.2054	TRUE	TRUE	0.1	146.0564751703992	FALSE	0.02449999999999988	3.578383641674763	353.57838364167475	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.02	limit_fail
donor	D	9	0.2051	TRUE	TRUE	0.1	146.27011214041931	FALSE	0.01983333333333333	2.9010238907849826	352.901023890785	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.02	limit_fail
donor	D	10	0.21779999999999997	TRUE	TRUE	0.1	137.74104683195594	FALSE	0.043166666666666555	5.945821854912749	355.94582185491277	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.04	limit_fail
donor	D	11	0.2437	TRUE	TRUE	0	0	TRUE	1	0	29.219830524982957	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
